paper_id,doi,title,venue,year,topic_decision,triage_decision,topic_bucket,citation_count,priority_score,selection_reason,protected_reasons,must_include,pdf_path
doi:10.4103/1463-1741.181995,10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,Noise and Health,2016,off_topic,pending,cognition,0,32.800,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.4103_1463-1741.181995.pdf
doi:10.1016/j.enbuild.2006.03.004,10.1016/j.enbuild.2006.03.004,Considerations for lighting in the built environment: Non-visual effects of light,Energy and Buildings,2006,off_topic,pending,light,0,29.800,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.enbuild.2006.03.004.pdf
doi:10.1034/j.1600-0668.2000.010004222.x,10.1034/j.1600-0668.2000.010004222.x,"The Effects of Outdoor Air Supply Rate in an Office on Perceived Air Quality, Sick Building Syndrome (SBS) Symptoms and Productivity",Indoor Air,2000,off_topic,pending,thermal,0,28.000,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1034_j.1600-0668.2000.010004222.x.pdf
doi:10.17509/interlude.v3i2.71595,10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,"Interlude: Indonesian Journal of Music Research, Development, and Technology",2024,on_topic,send_to_eater,acoustic,0,10.200,on_topic_pdf,,false,"data/Nurdin,_T._F._Distortions_in_sound:_Bridging_acous.pdf"
doi:10.1257/app.20220532,10.1257/app.20220532,"Noise, Cognitive Function, and Worker Productivity",American Economic Journal Applied Economics,2024,on_topic,pending,acoustic,0,10.200,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1257_app.20220532.pdf
zotero:L6ELI5MM,10.1016/j.heliyon.2024.e28340,"The impact of room shape on affective states, heartrate, and creative output",Heliyon,2024,on_topic,review,affect,0,10.200,on_topic_pdf,,false,"/Users/davidusa/Zotero/storage/HR7M9WQ9/K. Strachan-Regan and O. Baumann - 2024 - The impact of room shape on affective states, heartrate, and creative output.pdf"
doi:10.1371/journal.pone.0307934,10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,PLoS ONE,2024,on_topic,pending,affect,0,10.200,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1371_journal.pone.0307934.pdf
doi:10.38027/iccaua2024in0317,10.38027/iccaua2024in0317,A Critical Enquiry of Material Ageing in Interior Architecture,Proceedings of  the International Conference of Contemporary Affairs in Architecture and Urbanism-ICCAUA,2024,on_topic,send_to_eater,air,0,10.200,on_topic_pdf,,false,"data/Khimesara,_S.,_&_Shah,_A._(2024,_June)._A_Critical.pdf"
doi:10.56294/sctconf2024842,10.56294/sctconf2024842,Towards Enhancing Place Attachment in Urban Spaces of Vertical Residential Complexes (Bismayah as a Case Study),Salud Ciencia y Tecnología - Serie de Conferencias,2024,on_topic,pending,air,0,10.200,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.56294_sctconf2024842.pdf
doi:10.3390/buildings14103293,10.3390/buildings14103293,Enhancing Cognitive Performance and Physiological Benefit in Workspaces Through Patterns of Biophilic Design: A Restorative Approach,Buildings,2024,on_topic,pending,biophilic,0,10.200,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_buildings14103293.pdf
doi:10.47611/jsrhs.v13i1.6257,10.47611/jsrhs.v13i1.6257,Biophilic architecture: Using cognitive science principles to understand impact on well-being,Journal of student-scientists' research,2024,on_topic,pending,biophilic,0,10.200,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.47611_jsrhs.v13i1.6257.pdf
doi:10.1163/29498902-20240005,10.1163/29498902-20240005,"Memory, Materials and the Built Environment",Memory Studies Review,2024,on_topic,pending,cognition,0,10.200,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1163_29498902-20240005.pdf
doi:10.1016/j.buildenv.2024.111798,10.1016/j.buildenv.2024.111798,"High-rise window views: Evaluating the physiological and psychological impacts of green, blue, and built environments",Building and Environment,2024,on_topic,pending,light,0,10.200,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2024.111798.pdf
doi:10.3390/buildings14061790,10.3390/buildings14061790,A Perceptual Assessment of the Physical Environment in Teaching Buildings and Its Influence on Students’ Mental Well-Being,Buildings,2024,on_topic,pending,light,0,10.200,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_buildings14061790.pdf
doi:10.1007/s13762-023-04869-x,10.1007/s13762-023-04869-x,Ventilation and noise in a cognitive day care centre: environmental quality analysis and design optimization study,International Journal of Environmental Science and Technology,2023,on_topic,pending,acoustic,0,9.900,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s13762-023-04869-x.pdf
doi:10.3390/ijerph20021082,10.3390/ijerph20021082,Effects of Acoustic Environment Types on Stress Relief in Urban Parks,International Journal of Environmental Research and Public Health,2023,on_topic,pending,acoustic,0,9.900,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_ijerph20021082.pdf
doi:10.1016/j.buildenv.2023.110194,10.1016/j.buildenv.2023.110194,"Indoor soundscape, speech perception, and cognition in classrooms: A systematic review on the effects of ventilation-related sounds on students",Building and Environment,2023,on_topic,pending,acoustic,0,9.900,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2023.110194.pdf
doi:10.1016/j.jenvp.2023.102141,10.1016/j.jenvp.2023.102141,On how natural and urban soundscapes alter brain activity during cognitive performance,Journal of Environmental Psychology,2023,on_topic,pending,acoustic,0,9.900,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.jenvp.2023.102141.pdf
doi:10.1016/j.jobe.2023.107911,10.1016/j.jobe.2023.107911,The effect of the acoustic environment of learning spaces on students' learning efficiency: A review,Journal of Building Engineering,2023,on_topic,pending,acoustic,0,9.900,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.jobe.2023.107911.pdf
doi:10.3390/buildings13082000,10.3390/buildings13082000,Perception of Color in Architecture and Urban Space,Buildings,2023,on_topic,pending,affect,0,9.900,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_buildings13082000.pdf
doi:10.1080/15502724.2023.2279946,10.1080/15502724.2023.2279946,"Diurnal Intervention Effects of Electric Lighting on Alertness, Cognition, and Mood in Healthy Individuals: A Systematic Review and Meta-Analysis",LEUKOS The Journal of the Illuminating Engineering Society of North America,2023,on_topic,pending,affect,0,9.900,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_15502724.2023.2279946.pdf
doi:10.1080/17508975.2024.2306273,10.1080/17508975.2024.2306273,Investigating restorative effects of biophilic design in workplaces: a systematic review,Intelligent Buildings International,2023,on_topic,pending,biophilic,0,9.900,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_17508975.2024.2306273.pdf
zotero:HUH6KAQL,10.1177/03010066221124872,Beautiful on the inside: Aesthetic preferences and the skeletal complexity of shapes,Perception,2022,on_topic,review,affect,0,9.600,on_topic_pdf,,false,/Users/davidusa/Zotero/storage/9UFE7KU9/Zekun Sun and C. Firestone - 2022 - Beautiful on the inside Aesthetic preferences and the skeletal complexity of shapes.pdf
zotero:FIZG8FDN,10.3389/fpsyg.2022.933344,The contour effect: Differences in the aesthetic preference and stress response to photo-realistic living environments,Frontiers in Psychology,2022,on_topic,review,affect,0,9.600,on_topic_pdf,,false,/Users/davidusa/Zotero/storage/VQWV4QSE/Nour Tawil et al. - 2022 - The contour effect Differences in the aesthetic preference and stress response to photo-realistic l.pdf
doi:10.1016/j.jenvp.2022.101802,10.1016/j.jenvp.2022.101802,The emotional influence of different geometries in virtual spaces: A neurocognitive examination,Journal of Environmental Psychology,2022,on_topic,,affect,0,9.600,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.jenvp.2022.101802.pdf
doi:10.7454/in.v5i1.189,10.7454/in.v5i1.189,"Colour, Light, and Materiality: Biophilic Interior Design Presence in Research and Practice",Interiority,2022,on_topic,pending,biophilic,0,9.600,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.7454_in.v5i1.189.pdf
doi:10.1038/s41598-022-20649-y,10.1038/s41598-022-20649-y,A mobile EEG study on the psychophysiological effects of walking and crowding in indoor and outdoor urban environments,Scientific Reports,2022,on_topic,pending,biophilic,0,9.600,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1038_s41598-022-20649-y.pdf
doi:10.1177/14771535221138589,10.1177/14771535221138589,"Diurnal effects of dynamic lighting on alertness, cognition, and mood of mentally fatigued individuals in a daylight deprived environment",Lighting Research & Technology,2022,on_topic,pending,light,0,9.600,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_14771535221138589.pdf
doi:10.1016/j.jenvp.2022.101923,10.1016/j.jenvp.2022.101923,Design by nature: The influence of windows on cognitive performance and affect,Journal of Environmental Psychology,2022,on_topic,pending,light,0,9.600,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.jenvp.2022.101923.pdf
doi:10.1016/j.asej.2022.101810,10.1016/j.asej.2022.101810,"Simulating the natural lighting for a physical and mental Well-being in residential building in Dubai, UAE",Ain Shams Engineering Journal,2022,on_topic,pending,light,0,9.600,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.asej.2022.101810.pdf
doi:10.1177/1351010X211068850,10.1177/1351010X211068850,The impact of the acoustic environment on human emotion and experience: A case study of worship spaces,Building Acoustics,2022,on_topic,pending,acoustic,0,9.600,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_1351010X211068850.pdf
doi:10.3389/fpsyg.2021.699962,10.3389/fpsyg.2021.699962,Aesthetics and Psychological Effects of Fractal Based Design,Frontiers in Psychology,2021,on_topic,pending,biophilic,0,9.300,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3389_fpsyg.2021.699962.pdf
doi:10.1080/00038628.2021.1940827,10.1080/00038628.2021.1940827,A neurocognitive study of the emotional impact of geometrical criteria of architectural space,-,2021,on_topic,,cognition,0,9.300,on_topic_pdf,,false,data/pdfs/10.1080_00038628.2021.1940827.pdf
doi:10.1038/s41598-021-85210-9,10.1038/s41598-021-85210-9,Exploring a sustainable building’s impact on occupant mental health and cognitive function in a virtual environment,Scientific Reports,2021,on_topic,pending,cognition,0,9.300,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1038_s41598-021-85210-9.pdf
doi:10.32920/ryerson.14655804.v1,10.32920/ryerson.14655804.v1,"Light and Shadow Expression:  Contrast, Luminosity, Porosity",,2021,on_topic,send_to_eater,light,0,9.300,on_topic_pdf,,false,"data/Huynh,_V._H._(2014)._Light_and_Shadow_Expression:_.pdf"
doi:10.25039/x48.2021.op60,10.25039/x48.2021.op60,VIRTUAL REALITY: A PROMISING APPROACH FOR LIGHTING RESEARCH,Proceedings of the Conference CIE 2021,2021,on_topic,send_to_eater,light,0,9.300,on_topic_pdf,,false,"data/Bellia,_L.,_&_Fragliasso,_F._(2021)._Good_places_t.pdf"
doi:10.3390/SU13020823,10.3390/SU13020823,The Potential of Biophilic Fractal Designs to Promote Health and Performance: A Review of Experiments and Applications,Sustainability,2021,on_topic,pending,light,0,9.300,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_SU13020823.pdf
doi:10.3389/frsc.2021.690055,10.3389/frsc.2021.690055,Access to Daylight and Views Improves Physical and Emotional Wellbeing of Office Workers: A Crossover Study,Frontiers in Sustainable Cities,2021,on_topic,pending,light,0,9.300,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3389_frsc.2021.690055.pdf
doi:10.1007/s12273-021-0875-7,10.1007/s12273-021-0875-7,Optimisation design and verification of the acoustic environment for multimedia classrooms in universities based on simulation,Building Simulation,2021,on_topic,pending,acoustic,0,9.300,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s12273-021-0875-7.pdf
doi:10.3390/en14020333,10.3390/en14020333,"Effect of Thermal, Acoustic and Air Quality Perception Interactions on the Comfort and Satisfaction of People in Office Buildings",Energies,2021,on_topic,pending,acoustic,0,9.300,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_en14020333.pdf
doi:10.1016/j.buildenv.2021.108296,10.1016/j.buildenv.2021.108296,Effects of acoustic environment on design work performance based on multitask visual cognitive performance in office space,Building and Environment,2021,on_topic,pending,acoustic,0,9.300,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2021.108296.pdf
doi:10.3389/frvir.2021.620503,10.3389/frvir.2021.620503,Using Virtual Reality to Evaluate the Impact of Room Acoustics on Cognitive Performance and Well-Being,Frontiers in Virtual Reality,2021,on_topic,pending,acoustic,0,9.300,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3389_frvir.2021.620503.pdf
doi:10.1016/j.landurbplan.2021.104241,10.1016/j.landurbplan.2021.104241,"Urban soundscape categorization based on individual recognition, perception, and assessment of sound environments",Landscape and Urban Planning,2021,on_topic,pending,acoustic,0,9.300,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.landurbplan.2021.104241.pdf
doi:10.1016/j.buildenv.2020.106949,10.1016/j.buildenv.2020.106949,Ten questions concerning well-being in the built environment,Building and Environment,2020,on_topic,pending,cognition,0,9.000,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2020.106949.pdf
doi:10.1186/s41235-020-00243-4,10.1186/s41235-020-00243-4,Senses of place: architectural design for the multisensory mind,Cognitive Research: Principles and Implications,2020,on_topic,send_to_eater,thermal,0,9.000,on_topic_pdf,,false,"data/Spence,_C._(2020)._Senses_of_place:_architectural_.pdf"
doi:10.1016/j.buildenv.2020.106779,10.1016/j.buildenv.2020.106779,"The impact of a view from a window on thermal comfort, emotion, and cognitive performance",Building and Environment,2020,on_topic,pending,thermal,0,9.000,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2020.106779.pdf
doi:10.1080/17508975.2020.1732859,10.1080/17508975.2020.1732859,"Biophilic design and office planting: a case study of effects on perceived health, well-being and performance metrics in the workplace",Intelligent Buildings International,2020,on_topic,pending,biophilic,0,9.000,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_17508975.2020.1732859.pdf
doi:10.3390/su12156054,10.3390/su12156054,Acoustics for Supportive and Healthy Buildings: Emerging Themes on Indoor Soundscape Research,Sustainability,2020,on_topic,pending,acoustic,0,9.000,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_su12156054.pdf
doi:10.1016/j.buildenv.2020.107152,10.1016/j.buildenv.2020.107152,Indoor soundscape assessment: A principal components model of acoustic perception in residential buildings,Building and Environment,2020,on_topic,pending,acoustic,0,9.000,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2020.107152.pdf
doi:10.1177/1351010x20909464,10.1177/1351010x20909464,Exploring soundscaping options for the cognitive environment in an open-plan office,Building Acoustics,2020,on_topic,pending,acoustic,0,9.000,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_1351010x20909464.pdf
doi:10.1177/1420326X20927437,10.1177/1420326X20927437,"Effects of visual exposure to wood on human affective states, physiological arousal and cognitive performance: A systematic review of randomized trials",Indoor and Built Environment,2020,on_topic,pending,affect,0,9.000,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_1420326X20927437.pdf
doi:10.3389/fpsyg.2020.560833,10.3389/fpsyg.2020.560833,"Multisensory, Nature-Inspired Recharge Rooms Yield Short-Term Reductions in Perceived Stress Among Frontline Healthcare Workers",Frontiers in Psychology,2020,on_topic,pending,affect,0,9.000,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3389_fpsyg.2020.560833.pdf
doi:10.1016/j.envint.2019.105427,10.1016/j.envint.2019.105427,Effects of biophilic indoor environment on stress and anxiety recovery: A between-subjects experiment in virtual reality,Environment International,2019,on_topic,pending,restoration,0,8.700,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.envint.2019.105427.pdf
doi:10.20944/preprints201907.0323.v1,10.20944/preprints201907.0323.v1,Biophilic Architecture for Restoration and Therapy within the Built Environment: A Review,,2019,on_topic,pending,biophilic,0,8.700,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.20944_preprints201907.0323.v1.pdf
doi:10.1007/s11818-019-00215-x,10.1007/s11818-019-00215-x,"Effects of light on human circadian rhythms, sleep and mood",Somnologie - Schlafforschung und Schlafmedizin,2019,on_topic,pending,light,0,8.700,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_s11818-019-00215-x.pdf
doi:10.1016/j.buildenv.2019.106544,10.1016/j.buildenv.2019.106544,Effects of audio-visual interactions on soundscape and landscape perception and their influence on satisfaction with the urban environment,Building and Environment,2019,on_topic,pending,acoustic,0,8.700,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2019.106544.pdf
doi:10.3390/ijerph16071284,10.3390/ijerph16071284,Going beyond Quietness: Determining the Emotionally Restorative Effect of Acoustic Environments in Urban Open Public Spaces.,International journal of environmental research and public health,2019,on_topic,pending,acoustic,0,8.700,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_ijerph16071284.pdf
doi:10.1038/s41598-019-46099-7,10.1038/s41598-019-46099-7,Reduction of physiological stress by urban green space in a multisensory virtual experiment,Scientific Reports,2019,on_topic,pending,acoustic,0,8.700,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1038_s41598-019-46099-7.pdf
doi:10.1016/j.jenvp.2018.05.001,10.1016/j.jenvp.2018.05.001,Differences in eye movements while viewing images with various levels of restorativeness,Journal of Environmental Psychology,2018,on_topic,pending,restoration,0,8.400,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.jenvp.2018.05.001.pdf
doi:10.1016/j.buildenv.2018.11.040,10.1016/j.buildenv.2018.11.040,"Combined effects of acoustic, thermal, and illumination conditions on the comfort of discrete senses and overall indoor environment",Building and Environment,2018,on_topic,pending,thermal,0,8.400,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2018.11.040.pdf
doi:10.1016/j.buildenv.2018.01.006,10.1016/j.buildenv.2018.01.006,Physiological and cognitive performance of exposure to biophilic indoor environment,Building and Environment,2018,on_topic,pending,biophilic,0,8.400,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2018.01.006.pdf
doi:10.1016/j.buildenv.2017.06.048,10.1016/j.buildenv.2017.06.048,The effects of higher temperature setpoints during summer on office workers' cognitive load and thermal comfort,Building and Environment,2017,on_topic,pending,thermal,0,8.100,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2017.06.048.pdf
sha256:321a643f889e,,The Implications of Fractal Fluency for Biophilic Architecture,,2017,on_topic,pending,biophilic,0,8.100,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/The_Implications_of_Fractal_Fluency_for_Biophilic_.pdf
doi:10.1177/0013916517738077,10.1177/0013916517738077,"Effects of Illuminance and Correlated Color Temperature on Daytime Cognitive Performance, Subjective Mood, and Alertness in Healthy Adults",Environment and Behavior,2017,on_topic,pending,light,0,8.100,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_0013916517738077.pdf
doi:10.1080/10937404.2016.1196155,10.1080/10937404.2016.1196155,Attention Restoration Theory: A systematic review of the attention restoration potential of exposure to natural environments,"Journal of Toxicology and Environmental Health. Part B, Critical Reviews",2016,on_topic,pending,restoration,0,7.800,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_10937404.2016.1196155.pdf
doi:10.3389/fnhum.2016.00213,10.3389/fnhum.2016.00213,A Complex Story: Universal Preference vs. Individual Differences Shaping Aesthetic Response to Fractals Patterns,Frontiers in Human Neuroscience,2016,on_topic,pending,biophilic,0,7.800,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3389_fnhum.2016.00213.pdf
doi:10.15242/ijacebs.ae0416104,10.15242/ijacebs.ae0416104,Natural Light and Productivity: Analyzing the Impacts of Daylighting on Students’ and Workers’ Health and Alertness,International Journal of Advances in Chemical Engineering and Biological Sciences,2016,on_topic,pending,light,0,7.800,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.15242_ijacebs.ae0416104.pdf
doi:10.1093/scan/nsw154,10.1093/scan/nsw154,The theory of constructed emotion: an active inference account of interoception and categorization,Social Cognitive and Affective Neuroscience,2016,on_topic,pending,affect,0,7.800,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1093_scan_nsw154.pdf
doi:10.3389/fpsyg.2015.01639,10.3389/fpsyg.2015.01639,Differential effects of white noise in cognitive and perceptual tasks,Frontiers in Psychology,2015,on_topic,pending,cognition,0,7.500,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3389_fpsyg.2015.01639.pdf
doi:10.1016/j.buildenv.2015.02.013,10.1016/j.buildenv.2015.02.013,"The impact of classroom design on pupils' learning: Final results of a holistic, multi-level analysis",Building and Environment,2015,on_topic,pending,other,0,7.500,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2015.02.013.pdf
doi:10.26687/archnet-ijar.v9i2.464,10.26687/archnet-ijar.v9i2.464,Sustainable Spaces with Psychological Values: Historical Architecture as Reference Book for Biomimetic Models with Biophilic Qualities,International Journal of Architectural Research: ArchNet-IJAR,2015,on_topic,send_to_eater,biophilic,0,7.500,on_topic_pdf,,false,"data/Ramzy,_N._(2015)._Sustainable_spaces_with_psycholo.pdf"
doi:10.1016/j.buildenv.2015.03.014,10.1016/j.buildenv.2015.03.014,Unweaving the human response in daylighting design,Building and Environment,2015,on_topic,pending,light,0,7.500,on_topic_pdf,,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2015.03.014.pdf
