paper_id,doi,title,year,venue,status_before,n_tables_before,n_claims_before,article_type_family,article_type_predicted_family,article_type_confidence,article_type_margin,type_review_flags,priority_score,priority_reasons,priority_rank,selected_for_reprocess
doi:10.1016/j.landurbplan.2012.12.013,10.1016/j.landurbplan.2012.12.013,Associations between park characteristics and perceived restorativeness of small public urban green spaces,2013,,completed_pdf_extracted,4,448,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,166.000,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,19,yes
doi:10.1007/11853565_19,10.1007/11853565_19,Instrumenting the City: Developing Methods for Observing and Understanding the Digital Cityscape,2006,,completed_pdf_extracted,5,949,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,166.000,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,20,yes
zotero:BDKAMCED,,Annu Haapakangas – SUBJECTIVE REACTIONS TO NOISE IN OPEN-PLAN OFFICES AND THE EFFECTS OF NOISE ON COGNITIVE PERFORMANCE – Problems and Solutions,,,completed_pdf_extracted,12,364,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,166.000,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,21,yes
doi:10.1068/b4225,10.1068/b4225,The Space of Innovation: Interaction and Communication in the Work Environment,1999,Environment and Planning B Planning and Design,completed_pdf_no_claims,0,0,unknown,narrative_review,0.4545,0.5000,classifier_flagged|low_confidence,164.000,status:no_claims|unknown_with_predicted_family|predicted_synthesis|low_confidence_with_predicted_family,22,yes
doi:10.1260/135101003768965960,10.1260/135101003768965960,The Effects of Noise on Children at School: A Review,2003,,completed_pdf_no_claims,0,0,unknown,narrative_review,0.4545,0.5000,classifier_flagged|low_confidence,164.000,status:no_claims|unknown_with_predicted_family|predicted_synthesis|low_confidence_with_predicted_family,23,yes
doi:10.24002/jarina.v3i2.9119,10.24002/jarina.v3i2.9119,Role of Neuroscience and Artificial Intelligence in Biophilic Architectural Design Based on the Principle of Symbiosis,2024,,completed_pdf_no_claims,0,0,unknown,narrative_review,0.4545,0.5000,classifier_flagged|low_confidence,164.000,status:no_claims|unknown_with_predicted_family|predicted_synthesis|low_confidence_with_predicted_family,24,yes
zotero:TR3IUBWZ,,Cognitive architecture: designing for how we respond to the built environment,2021,,completed_pdf_no_claims,0,0,unknown,narrative_review,0.4545,0.5000,classifier_flagged|low_confidence,164.000,status:no_claims|unknown_with_predicted_family|predicted_synthesis|low_confidence_with_predicted_family,25,yes
doi:10.3758/s13423-011-0182-x,10.3758/s13423-011-0182-x,Active and passive contributions to spatial learning,2012,,completed_pdf_no_claims,0,0,unknown,narrative_review,0.4545,0.5000,classifier_flagged|low_confidence,164.000,status:no_claims|unknown_with_predicted_family|predicted_synthesis|low_confidence_with_predicted_family,26,yes
doi:10.1080/01944363.2018.1526644,10.1080/01944363.2018.1526644,New Directions in Cognitive-Environmental Research: Applications to Urban Planning and Design,2018,,completed_pdf_no_claims,0,0,unknown,narrative_review,0.4545,0.5000,classifier_flagged|low_confidence,164.000,status:no_claims|unknown_with_predicted_family|predicted_synthesis|low_confidence_with_predicted_family,27,yes
doi:10.1016/j.tics.2010.06.008,10.1016/j.tics.2010.06.008,The multifaceted interplay between attention and multisensory integration,2010,,completed_pdf_no_claims,0,0,unknown,narrative_review,0.4545,0.5000,classifier_flagged|low_confidence,164.000,status:no_claims|unknown_with_predicted_family|predicted_synthesis|low_confidence_with_predicted_family,28,yes
doi:10.1113/jphysiol.2009.172445,10.1113/jphysiol.2009.172445,What is remembered? Role of attention on the encoding and retrieval of hippocampal representations,2009,,completed_pdf_no_claims,0,0,unknown,narrative_review,0.4545,0.5000,classifier_flagged|low_confidence,164.000,status:no_claims|unknown_with_predicted_family|predicted_synthesis|low_confidence_with_predicted_family,29,yes
doi:10.7302/1414,10.7302/1414,Aural Architecture as Affect: Understanding the Impact of Acoustic Environments on Human Experience,2021,,completed_pdf_extracted,10,219,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,162.900,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,30,yes
doi:10.1080/13602365.2024.2331505,10.1080/13602365.2024.2331505,Impact of biophilic design parameters on university students’ place attachment and quality of campus life,2024,,completed_pdf_extracted,4,217,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,162.700,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,31,yes
doi:10.1068/b2725,10.1068/b2725,Exploring Isovist Fields: Space and Shape in Architectural and Urban Morphology,2001,,completed_pdf_no_claims,0,0,unknown,conceptual_framework,0.4545,0.5000,classifier_flagged|low_confidence,162.000,status:no_claims|unknown_with_predicted_family|predicted_theoretical|low_confidence_with_predicted_family,32,yes
doi:10.1177/0885412205286160,10.1177/0885412205286160,Finding Common Ground: The Importance of Place Attachment to Community Participation and Planning,2006,,completed_pdf_no_claims,0,0,unknown,theoretical,0.4545,0.5000,classifier_flagged|low_confidence,162.000,status:no_claims|unknown_with_predicted_family|predicted_theoretical|low_confidence_with_predicted_family,33,yes
doi:10.1016/j.visres.2013.11.004,10.1016/j.visres.2013.11.004,Visual perception of materials and their properties,2014,,completed_pdf_no_claims,0,0,unknown,theoretical,0.5091,0.4000,classifier_flagged|low_confidence,162.000,status:no_claims|unknown_with_predicted_family|predicted_theoretical|low_confidence_with_predicted_family,34,yes
doi:10.1093/oxfordhb/9780198735410.013.10,10.1093/oxfordhb/9780198735410.013.10,Cognitive Integration: How Culture Transforms Us and Extends Our Cognitive Capabilities,2018,,completed_pdf_extracted,3,194,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,160.400,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,35,yes
doi:10.1111/joid.12179,10.1111/joid.12179,"Effects of Interior Color Schemes on Emotion, Task Performance, and Heart Rate in Immersive Virtual Environments",2020,,completed_pdf_extracted,7,187,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,159.700,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,36,yes
doi:10.3758/s13421-022-01359-2,10.3758/s13421-022-01359-2,Irrelevant speech impairs serial recall of verbal but not spatial items in children and adults,2023,,completed_pdf_extracted,0,167,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,157.700,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,37,yes
doi:10.1145/3676488,10.1145/3676488,An Examination of Ultrasound Mid-air Haptics for Enhanced Material and Temperature Perception in Virtual Environments,2024,,completed_pdf_extracted,15,155,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,156.500,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,38,yes
sha256:4f30e0b5608b,,Room acoustics and cognitive load when listening to speech,2010,"Publications (Konstfack University of Arts, Crafts, and Design)",completed_pdf_extracted,0,154,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,156.400,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,39,yes
doi:10.54864/planarch.1491955,10.54864/planarch.1491955,Integrating Nature into Academic Spaces: Biophilic Campus,2024,,completed_pdf_extracted,47,207,unknown,empirical_v2,0.2182,0.2000,classifier_flagged|low_confidence|low_margin,155.700,status:extracted|unknown_with_predicted_family|predicted_empirical|low_margin_flag|low_confidence_with_predicted_family|claim_volume,40,yes
zotero:FIZG8FDN,10.3389/fpsyg.2022.933344,The contour effect: Differences in the aesthetic preference and stress response to photo-realistic living environments,2022,Frontiers in Psychology,completed_pdf_extracted,3,191,unknown,empirical_v2,0.2182,0.2000,classifier_flagged|low_confidence|low_margin,154.100,status:extracted|unknown_with_predicted_family|predicted_empirical|low_margin_flag|low_confidence_with_predicted_family|claim_volume,41,yes
doi:10.1093/cercor/bhr310,10.1093/cercor/bhr310,Attention Reverses the Effect of Prediction in Silencing Sensory Signals,2012,,completed_pdf_extracted,0,120,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,153.000,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,42,yes
doi:10.1371/journal.pone.0243259,10.1371/journal.pone.0243259,"Abrupt light transitions in illuminance and correlated colour temperature result in different temporal dynamics and interindividual variability for sensation, comfort and alertness",2021,,completed_pdf_extracted,3,119,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,152.900,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,43,yes
doi:10.3389/fnhum.2021.771711,10.3389/fnhum.2021.771711,The Effects of Working Memory Load on Auditory Distraction in Adults With Attention Deficit Hyperactivity Disorder,2021,,completed_pdf_extracted,0,116,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,152.600,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,44,yes
doi:10.3390/buildings13082000,10.3390/buildings13082000,Perception of Color in Architecture and Urban Space,2023,Buildings,completed_pdf_extracted,3,115,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,152.500,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,45,yes
doi:10.1184/r1/23538486.v1,10.1184/r1/23538486.v1,"Analyzing the Impact of Material, Formal, and Aesthetic Features on Stress Reactions Using Biophilic Patterns",2023,,completed_pdf_extracted,11,154,unknown,empirical_v2,0.4000,0.7000,classifier_flagged|low_confidence,152.400,status:extracted|unknown_with_predicted_family|predicted_empirical|mid_margin|low_confidence_with_predicted_family|claim_volume,46,yes
doi:10.1007/s00226-021-01320-7,10.1007/s00226-021-01320-7,Effect of the degree of wood use on the visual psychological response of wooden indoor spaces,2021,,completed_pdf_extracted,5,110,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,152.000,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,47,yes
doi:10.1007/978-3-031-04714-5_6,10.1007/978-3-031-04714-5_6,Adaptive and Sustainability for Visual and Perceptive Comfort: Neuroscience and Architecture,2022,,completed_pdf_extracted,0,109,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,151.900,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,48,yes
doi:10.1080/10630732.2023.2289144,10.1080/10630732.2023.2289144,The Neuro-Cognitive Approach to Urban Planning: Wayfinding Behavior Analysis and its Effect on Urban Planning,2024,,completed_pdf_extracted,5,108,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,151.800,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,49,yes
doi:10.1037/aca0000150,10.1037/aca0000150,Preference for curvilinear contour in interior architectural spaces: Evidence from experts and nonexperts.,2019,,completed_pdf_extracted,0,104,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,151.400,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,50,yes
doi:10.37547/tajiir/volume06issue08-06,10.37547/tajiir/volume06issue08-06,THE INFLUENCE OF CULTURE AND HERITAGE ON ARCHITECTURAL DESIGN,2024,,completed_pdf_extracted,0,104,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,151.400,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,51,yes
doi:10.3390/buildings14103293,10.3390/buildings14103293,Enhancing Cognitive Performance and Physiological Benefit in Workspaces Through Patterns of Biophilic Design: A Restorative Approach,2024,Buildings,completed_pdf_extracted,5,102,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,151.200,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,52,yes
zotero:6TNNU66U,,"Learning to act with objects, relations and physics",,,completed_pdf_extracted,10,100,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,151.000,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,53,yes
doi:10.1007/3-540-48384-5_25,10.1007/3-540-48384-5_25,A Formal Model of the Process of Wayfinding in Built Environments,1999,,completed_pdf_extracted,0,97,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,150.700,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,54,yes
doi:10.47611/jsrhs.v13i1.6257,10.47611/jsrhs.v13i1.6257,Biophilic architecture: Using cognitive science principles to understand impact on well-being,2024,Journal of student-scientists' research,completed_pdf_extracted,3,92,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,150.200,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,55,yes
doi:10.1145/2556288.2557008,10.1145/2556288.2557008,Opportunities for odor: experiences with smell and implications for technology,2014,,completed_pdf_extracted,0,92,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,150.200,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,56,yes
doi:10.1613/jair.301,10.1613/jair.301,Reinforcement Learning: A Survey,1996,Journal of Artificial Intelligence Research,completed_pdf_no_claims,0,0,unknown,thought_piece,0.4000,0.2000,classifier_flagged|low_confidence|low_margin,150.000,status:no_claims|unknown_with_predicted_family|low_margin_flag|low_confidence_with_predicted_family,57,yes
doi:10.1080/14649365.2011.564733,10.1080/14649365.2011.564733,"More-than visual approaches to architecture. Vision, touch, technique",2011,,completed_pdf_no_claims,0,0,unknown,thought_piece,0.4727,0.3000,classifier_flagged|low_confidence|low_margin,150.000,status:no_claims|unknown_with_predicted_family|low_margin_flag|low_confidence_with_predicted_family,58,yes
doi:10.3758/s13428-019-01242-0,10.3758/s13428-019-01242-0,Studying human behavior with virtual reality: The Unity Experiment Framework,2020,,completed_pdf_no_claims,0,0,unknown,case_study,0.4000,0.2000,classifier_flagged|low_confidence|low_margin,150.000,status:no_claims|unknown_with_predicted_family|low_margin_flag|low_confidence_with_predicted_family,59,yes
doi:10.1080/00048402.2022.2122523,10.1080/00048402.2022.2122523,Extending the Predictive Mind,2024,,completed_pdf_extracted,1,86,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,149.600,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,60,yes
doi:10.1080/23744731.2022.2049639,10.1080/23744731.2022.2049639,Physiological and psychological responses and cognitive performance with a window view,2022,,completed_pdf_extracted,2,86,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,149.600,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,61,yes
doi:10.1523/jneurosci.21-16-06405.2001,10.1523/jneurosci.21-16-06405.2001,Action Spectrum for Melatonin Regulation in Humans: Evidence for a Novel Circadian Photoreceptor,2001,Journal of Neuroscience,completed_pdf_extracted,0,84,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,149.400,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,62,yes
doi:10.1080/00140130903154579,10.1080/00140130903154579,Effects of acoustic environment on work in private office rooms and open-plan offices – longitudinal study during relocation,2009,Ergonomics,completed_pdf_extracted,14,83,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,149.300,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,63,yes
doi:10.3390/ijerph16244934,10.3390/ijerph16244934,"The Association between Ground Floor Features and Public Open Space Face-To-Face Interactions: Evidence from Nantou Village, Shenzhen",2019,,completed_pdf_extracted,3,82,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,149.200,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,64,yes
doi:10.1017/9781316274385.007,10.1017/9781316274385.007,The Creation and Aesthetic Appreciation of Architecture,2017,,completed_pdf_extracted,0,80,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,149.000,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,65,yes
doi:10.1037/aca0000359,10.1037/aca0000359,Visual preference for abstract curvature and for interior spaces: Beyond undergraduate student samples.,2022,,completed_pdf_extracted,6,78,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,148.800,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,66,yes
doi:10.1371/journal.pone.0307934,10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,2024,PLoS ONE,completed_pdf_extracted,3,134,unknown,empirical_v2,0.2182,0.2000,classifier_flagged|low_confidence|low_margin,148.400,status:extracted|unknown_with_predicted_family|predicted_empirical|low_margin_flag|low_confidence_with_predicted_family|claim_volume,67,yes
doi:10.1146/annurev-neuro-072116-031215,10.1146/annurev-neuro-072116-031215,How Movement Modulates Hearing,2018,,completed_pdf_extracted,18,74,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,148.400,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,68,yes
doi:10.1068/b33050,10.1068/b33050,From Space Syntax to Space Semantics: A Behaviorally and Perceptually Oriented Methodology for the Efficient Description of the Geometry and Topology of Environments,2008,,completed_pdf_extracted,5,133,unknown,empirical_v2,0.2182,0.2000,classifier_flagged|low_confidence|low_margin,148.300,status:extracted|unknown_with_predicted_family|predicted_empirical|low_margin_flag|low_confidence_with_predicted_family|claim_volume,69,yes
doi:10.1038/s41598-022-27141-7,10.1038/s41598-022-27141-7,Global urban homogenization and the loss of emotions,2022,,completed_pdf_extracted,1,70,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,148.000,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,70,yes
doi:10.1016/j.erss.2016.02.008,10.1016/j.erss.2016.02.008,Saving energy with light? Experimental studies assessing the impact of colour temperature on thermal comfort,2016,,completed_pdf_extracted,11,69,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,147.900,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,71,yes
doi:10.3389/fpsyg.2015.00637,10.3389/fpsyg.2015.00637,Ecological validity of virtual environments to assess human navigation ability,2015,,completed_pdf_extracted,30,69,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,147.900,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,72,yes
doi:10.1111/sjop.12171,10.1111/sjop.12171,"Updating working memory in aircraft noise and speech noise causes different <span style=""font-variant:small-caps;"">fMRI</span> activations",2015,,completed_pdf_extracted,2,69,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,147.900,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,73,yes
doi:10.1177/0146167208320555,10.1177/0146167208320555,Culture and Aesthetic Preference: Comparing the Attention to Context of East Asians and Americans,2008,,completed_pdf_extracted,17,67,unknown,empirical_v2,0.5455,1.5000,classifier_flagged|low_confidence,147.700,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,74,yes
doi:10.3390/f13122073,10.3390/f13122073,Wooden Indoor Environments’ Restorativeness,2022,,completed_pdf_extracted,1,64,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,147.400,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,75,yes
doi:10.1121/1.1918154,10.1121/1.1918154,Speech Privacy in Buildings,1962,,completed_pdf_extracted,15,63,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,147.300,status:extracted|unknown_with_predicted_family|predicted_empirical|high_margin|low_confidence_with_predicted_family|claim_volume,76,yes
doi:10.3389/fpsyg.2021.699962,10.3389/fpsyg.2021.699962,Aesthetics and Psychological Effects of Fractal Based Design,2021,Frontiers in Psychology,completed_pdf_extracted,0,121,unknown,empirical_v2,0.2182,0.2000,classifier_flagged|low_confidence|low_margin,147.100,status:extracted|unknown_with_predicted_family|predicted_empirical|low_margin_flag|low_confidence_with_predicted_family|claim_volume,77,yes
