paper_id,source_table_id,source_table_row,claim_id,claim_type,row_status,reasons,source_informative,statement_informative,overlap_ratio,env_resolved,out_resolved,effect_known,translation_status,translation_confidence,translation_warnings,needs_verification,quality_flag,statement,source_quote
doi:10.1145/2079216.2079270,TBL-20260214092358-001,1,doi:10.1145/2079216.2079270-TBL-C002,finding,verified_weak,source_row_low_information|statement_low_information|translation_status:inferred,false,false,1.0000,true,true,true,inferred,0.45,,true,ok,Visualproperties: Auditoryproperties,Visualproperties: Auditoryproperties
doi:10.1145/2079216.2079270,TBL-20260214092358-001,2,doi:10.1145/2079216.2079270-TBL-C003,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,Visualproperties: Olfactory properties,Visualproperties: Olfactory properties
doi:10.3390/ijerph14070773,TBL-20260214094658-001,0,doi:10.3390/ijerph14070773-TBL-C001,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,: Material 5; Tactile experiment: Dummy,: Material 5; Tactile experiment: Dummy
doi:10.3390/ijerph14070773,TBL-20260214094658-001,2,doi:10.3390/ijerph14070773-TBL-C002,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,Fitting the sensors: Rest (60 s),Fitting the sensors: Rest (60 s)
doi:10.3390/ijerph14070801,TBL-20260214095012-001,0,doi:10.3390/ijerph14070801-TBL-C001,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,TTaacctitliele e exxppeerirmimenentt: DDuummmmyy,TTaacctitliele e exxppeerirmimenentt: DDuummmmyy
doi:10.3390/ijerph14070801,TBL-20260214095012-001,3,doi:10.3390/ijerph14070801-TBL-C002,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,FFititttiningg t thhee sseennssoorrss: Rest Rest (60 s) (60 s),FFititttiningg t thhee sseennssoorrss: Rest Rest (60 s) (60 s)
doi:10.3390/ijerph14070801,TBL-20260214095012-002,0,doi:10.3390/ijerph14070801-TBL-C003,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,: Instruction Instruction (return hand) (return hand),: Instruction Instruction (return hand) (return hand)
doi:10.3390/ijerph14070801,TBL-20260214095012-003,0,doi:10.3390/ijerph14070801-TBL-C004,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,: Instruction Instruction (open eyes) (open eyes,: Instruction Instruction (open eyes) (open eyes
doi:10.3390/buildings14040957,TBL-20260214095023-002,0,doi:10.3390/buildings14040957-TBL-C001,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"Common: Indicators Criterion; χ2: - Inad; df: - dition,byscr; χ2/df: <3 utinizingthec; RMSEA: <0.10 orrelations","Common: Indicators Criterion; χ2: - Inad; df: - dition,byscr; χ2/df: <3 utinizingthec; RMSEA: <0.10 orrelations"
doi:10.3390/buildings14040957,TBL-20260214095023-002,1,doi:10.3390/buildings14040957-TBL-C002,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,Common: Value; χ2: 719.73s5a tisf; df: actio3n88s tillp; χ2/df: lays1a.8p5a6r tial; RMSEA: med0i.a0t5i1n gr,Common: Value; χ2: 719.73s5a tisf; df: actio3n88s tillp; χ2/df: lays1a.8p5a6r tial; RMSEA: med0i.a0t5i1n gr
zotero:LET7QMBL,TBL-20260214095646-001,0,zotero:LET7QMBL-TBL-C001,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"to become old and dirty. You can’t blame it; it is its nature. But plastics were invented. So: when they become ugly, when they melt or crack, you blame the inventors. They should","to become old and dirty. You can’t blame it; it is its nature. But plastics were invented. So: when they become ugly, when they melt or crack, you blame the inventors. They should"
zotero:LET7QMBL,TBL-20260214095646-001,1,zotero:LET7QMBL-TBL-C002,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,to become old and dirty. You can’t blame it; it is its nature. But plastics were invented. So: have done a better job.”,to become old and dirty. You can’t blame it; it is its nature. But plastics were invented. So: have done a better job.”
zotero:LET7QMBL,TBL-20260214095647-002,0,zotero:LET7QMBL-TBL-C003,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"attributing meanings to materials. In: ASME International Design Engineering Technical: Conferences and Computers and Information in Engineering Conference, Las Vegas.","attributing meanings to materials. In: ASME International Design Engineering Technical: Conferences and Computers and Information in Engineering Conference, Las Vegas."
zotero:LET7QMBL,TBL-20260214095648-005,0,zotero:LET7QMBL-TBL-C004,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,Francesca Ostuzzi: her Master Degree in Design & Engineering in 2010 at Politecnico di Milano. In 2013 she,Francesca Ostuzzi: her Master Degree in Design & Engineering in 2010 at Politecnico di Milano. In 2013 she
zotero:LET7QMBL,TBL-20260214095648-005,1,zotero:LET7QMBL-TBL-C005,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,Francesca Ostuzzi: started her PhD in Politecnico di Milano and she is now conducting a Joint PhD between,Francesca Ostuzzi: started her PhD in Politecnico di Milano and she is now conducting a Joint PhD between
zotero:LET7QMBL,TBL-20260214095648-005,2,zotero:LET7QMBL-TBL-C006,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,Francesca Ostuzzi: Politecnico di Milano and Ghent University. Her research interests include sustainability an,Francesca Ostuzzi: Politecnico di Milano and Ghent University. Her research interests include sustainability an
zotero:LET7QMBL,TBL-20260214095648-005,3,zotero:LET7QMBL-TBL-C007,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"Francesca Ostuzzi: design, the value of imperfection, openness of product design (Open-ended Design), digita","Francesca Ostuzzi: design, the value of imperfection, openness of product design (Open-ended Design), digita"
zotero:LET7QMBL,TBL-20260214095648-005,4,zotero:LET7QMBL-TBL-C008,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,Francesca Ostuzzi: technologies and the application of such topics and tools into co-generative and open,Francesca Ostuzzi: technologies and the application of such topics and tools into co-generative and open
zotero:LET7QMBL,TBL-20260214095648-005,5,zotero:LET7QMBL-TBL-C009,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,Francesca Ostuzzi: processes.,Francesca Ostuzzi: processes.
zotero:LET7QMBL,TBL-20260214095648-006,0,zotero:LET7QMBL-TBL-C010,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,developed and “Expressive-Sensorial Atlas of Materials for Design” to support designers in: their materials education and selection activities considering also the phenomenological an,developed and “Expressive-Sensorial Atlas of Materials for Design” to support designers in: their materials education and selection activities considering also the phenomenological an
zotero:LET7QMBL,TBL-20260214095648-006,1,zotero:LET7QMBL-TBL-C011,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"developed and “Expressive-Sensorial Atlas of Materials for Design” to support designers in: perceptive aspects of materials. At the same time, she was a supervisor of Materiali e","developed and “Expressive-Sensorial Atlas of Materials for Design” to support designers in: perceptive aspects of materials. At the same time, she was a supervisor of Materiali e"
zotero:LET7QMBL,TBL-20260214095648-006,2,zotero:LET7QMBL-TBL-C012,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"developed and “Expressive-Sensorial Atlas of Materials for Design” to support designers in: Design, the material library at the School of Design (2000 ? 2013). Nowaday, Dr. Rognoli is","developed and “Expressive-Sensorial Atlas of Materials for Design” to support designers in: Design, the material library at the School of Design (2000 ? 2013). Nowaday, Dr. Rognoli is"
zotero:LET7QMBL,TBL-20260214095648-006,3,zotero:LET7QMBL-TBL-C013,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"developed and “Expressive-Sensorial Atlas of Materials for Design” to support designers in: one of the collaborators of Polifactory, the makerspace of Politecnico di Milano","developed and “Expressive-Sensorial Atlas of Materials for Design” to support designers in: one of the collaborators of Polifactory, the makerspace of Politecnico di Milano"
zotero:LET7QMBL,TBL-20260214095648-006,4,zotero:LET7QMBL-TBL-C014,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,developed and “Expressive-Sensorial Atlas of Materials for Design” to support designers in: (; : ) and she is one of the founders of Experience and,developed and “Expressive-Sensorial Atlas of Materials for Design” to support designers in: (; : ) and she is one of the founders of Experience and
zotero:LET7QMBL,TBL-20260214095648-007,0,zotero:LET7QMBL-TBL-C015,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"interests include teaching materials in design, Materials Driven Design MDD method,: materials interactions, emerging materials experiences and DIY Materials. She is research","interests include teaching materials in design, Materials Driven Design MDD method,: materials interactions, emerging materials experiences and DIY Materials. She is research"
zotero:LET7QMBL,TBL-20260214095648-007,1,zotero:LET7QMBL-TBL-C016,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"interests include teaching materials in design, Materials Driven Design MDD method,: collaborator in the DIDIY Project, This project has received funding from the Europea","interests include teaching materials in design, Materials Driven Design MDD method,: collaborator in the DIDIY Project, This project has received funding from the Europea"
zotero:LET7QMBL,TBL-20260214095648-007,2,zotero:LET7QMBL-TBL-C017,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"interests include teaching materials in design, Materials Driven Design MDD method,: Unions Horizon 2020 research and innovation programme under grant agreement No","interests include teaching materials in design, Materials Driven Design MDD method,: Unions Horizon 2020 research and innovation programme under grant agreement No"
zotero:LET7QMBL,TBL-20260214095648-007,3,zotero:LET7QMBL-TBL-C018,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"interests include teaching materials in design, Materials Driven Design MDD method,: 644344 (; : )","interests include teaching materials in design, Materials Driven Design MDD method,: 644344 (; : )"
zotero:LET7QMBL,TBL-20260214095648-008,0,zotero:LET7QMBL-TBL-C019,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"2007, in Politecnico di Milano. Her current research interests are: Polymer chemistry,: Nanocomposite materials, Surfaces functionalization & properties, Polymers for Microfluidi","2007, in Politecnico di Milano. Her current research interests are: Polymer chemistry,: Nanocomposite materials, Surfaces functionalization & properties, Polymers for Microfluidi"
zotero:LET7QMBL,TBL-20260214095648-008,1,zotero:LET7QMBL-TBL-C020,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"2007, in Politecnico di Milano. Her current research interests are: Polymer chemistry,: Devices, Polymers for Alternative Energy and Materials for Design & Textiles","2007, in Politecnico di Milano. Her current research interests are: Polymer chemistry,: Devices, Polymers for Alternative Energy and Materials for Design & Textiles"
doi:10.1080/13527258.2017.1286607,TBL-20260214095700-001,0,doi:10.1080/13527258.2017.1286607-TBL-C001,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"Sample of suburban development immediately to the west of I’On. (I’On is shaded green.): Sample of historic Charleston, south of Broad Street.","Sample of suburban development immediately to the west of I’On. (I’On is shaded green.): Sample of historic Charleston, south of Broad Street."
doi:10.1080/13527258.2017.1286607,TBL-20260214095700-001,1,doi:10.1080/13527258.2017.1286607-TBL-C002,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,Sample of suburban development immediately to the west of I’On. (I’On is shaded green.): Sample of the I’On development.,Sample of suburban development immediately to the west of I’On. (I’On is shaded green.): Sample of the I’On development.
doi:10.1016/j.matdes.2012.06.028,TBL-20260214095809-002,0,doi:10.1016/j.matdes.2012.06.028-TBL-C001,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,pure white: lightgray ivory whit beige gree,pure white: lightgray ivory whit beige gree
doi:10.1016/j.matdes.2012.06.028,TBL-20260214095809-002,1,doi:10.1016/j.matdes.2012.06.028-TBL-C002,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,pure white: mango ice,pure white: mango ice
doi:10.1016/j.matdes.2012.06.028,TBL-20260214095809-002,2,doi:10.1016/j.matdes.2012.06.028-TBL-C003,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,pure white: yellow,pure white: yellow
doi:10.1016/j.matdes.2012.06.028,TBL-20260214095809-002,4,doi:10.1016/j.matdes.2012.06.028-TBL-C004,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,pure white: ruby red,pure white: ruby red
doi:10.1016/j.matdes.2012.06.028,TBL-20260214095809-002,5,doi:10.1016/j.matdes.2012.06.028-TBL-C005,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,pure white: chocolate brown sapp,pure white: chocolate brown sapp
doi:10.1016/j.matdes.2012.06.028,TBL-20260214095809-002,6,doi:10.1016/j.matdes.2012.06.028-TBL-C006,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,pure white: blu deep black,pure white: blu deep black
doi:10.1016/j.matdes.2012.06.028,TBL-20260214095809-003,1,doi:10.1016/j.matdes.2012.06.028-TBL-C007,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,: ivory b; mango yel: eige; low: rubyred,: ivory b; mango yel: eige; low: rubyred
doi:10.1016/j.matdes.2012.06.028,TBL-20260214095809-003,2,doi:10.1016/j.matdes.2012.06.028-TBL-C008,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,: ite green light gray; mango yel: pure white chocolate; low: brown,: ite green light gray; mango yel: pure white chocolate; low: brown
doi:10.1016/j.matdes.2012.06.028,TBL-20260214095809-003,3,doi:10.1016/j.matdes.2012.06.028-TBL-C009,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,: ice blue; mango yel: deep black sapphire blue,: ice blue; mango yel: deep black sapphire blue
doi:10.3390/en15155390,TBL-20260214095840-001,0,doi:10.3390/en15155390-TBL-C001,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,csihpipless.: aObrsdtrera/csttrbuicotluorge/igcarolwstthra:,csihpipless.: aObrsdtrera/csttrbuicotluorge/igcarolwstthra:
doi:10.1017/jmo.2021.17,TBL-20260214094421-001,0,doi:10.1017/jmo.2021.17-TBL-C001,finding,verified_strong,translation_status:exact,true,true,1.0000,true,true,true,exact,0.95,,true,ok,Open plan office noise is stressful: Multimodal stress detection in a simulated: work environment,Open plan office noise is stressful: Multimodal stress detection in a simulated: work environment
doi:10.1017/jmo.2021.17,TBL-20260214094421-001,2,doi:10.1017/jmo.2021.17-TBL-C002,finding,verified_strong,translation_status:exact,true,true,1.0000,true,true,true,exact,0.95,,true,ok,Open plan office noise is stressful: Multimodal stress detection in a simulated: Abstract,Open plan office noise is stressful: Multimodal stress detection in a simulated: Abstract
doi:10.1017/jmo.2021.17,TBL-20260214094423-006,0,doi:10.1017/jmo.2021.17-TBL-C003,sample,verified_weak,translation_status:noncausal,true,true,1.0000,true,true,true,noncausal,0.3,noncausal_claim_type,true,ok,age: with density and/or partition height as employees return to work following COVID,age: with density and/or partition height as employees return to work following COVID
doi:10.1017/jmo.2021.17,TBL-20260214094423-006,1,doi:10.1017/jmo.2021.17-TBL-C004,sample,verified_weak,translation_status:noncausal,true,true,1.0000,true,true,true,noncausal,0.3,noncausal_claim_type,true,ok,age: restrictions. Dependent variables would likely be limited to self-report,age: restrictions. Dependent variables would likely be limited to self-report
doi:10.1017/jmo.2021.17,TBL-20260214094423-006,2,doi:10.1017/jmo.2021.17-TBL-C005,sample,verified_weak,translation_status:noncausal,true,true,1.0000,true,true,true,noncausal,0.3,noncausal_claim_type,true,ok,"age: mood/fatigue/satisfaction measures, though it may be possible to capture some performance","age: mood/fatigue/satisfaction measures, though it may be possible to capture some performance"
doi:10.1017/jmo.2021.17,TBL-20260214094423-006,3,doi:10.1017/jmo.2021.17-TBL-C006,sample,verified_weak,translation_status:noncausal,true,true,1.0000,true,true,true,noncausal,0.3,noncausal_claim_type,true,ok,age: measures as well depending on the workplace (e.g. claims processed per day captured,age: measures as well depending on the workplace (e.g. claims processed per day captured
doi:10.1017/jmo.2021.17,TBL-20260214094423-006,4,doi:10.1017/jmo.2021.17-TBL-C007,sample,verified_weak,translation_status:noncausal,true,true,1.0000,true,true,true,noncausal,0.3,noncausal_claim_type,true,ok,age: electronically). This field work would allow for longer exposure periods to be tested and be a,age: electronically). This field work would allow for longer exposure periods to be tested and be a
doi:10.1017/jmo.2021.17,TBL-20260214094423-007,0,doi:10.1017/jmo.2021.17-TBL-C008,finding,verified_strong,translation_status:fuzzy,true,true,1.0000,true,true,true,fuzzy,0.78,,true,ok,good complement to laboratory research with physiological measures and in which more: levels/intensities of various physical environment attributes are independently manipulated.,good complement to laboratory research with physiological measures and in which more: levels/intensities of various physical environment attributes are independently manipulated.
doi:10.59324/ejtas.2023.1(5).86,TBL-20260214094656-002,0,doi:10.59324/ejtas.2023.1(5).86-TBL-C001,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5
doi:10.59324/ejtas.2023.1(5).86,TBL-20260214094656-003,0,doi:10.59324/ejtas.2023.1(5).86-TBL-C002,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5
doi:10.59324/ejtas.2023.1(5).86,TBL-20260214094656-004,0,doi:10.59324/ejtas.2023.1(5).86-TBL-C003,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5
doi:10.59324/ejtas.2023.1(5).86,TBL-20260214094656-005,0,doi:10.59324/ejtas.2023.1(5).86-TBL-C004,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5
doi:10.59324/ejtas.2023.1(5).86,TBL-20260214094657-006,0,doi:10.59324/ejtas.2023.1(5).86-TBL-C005,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5
doi:10.59324/ejtas.2023.1(5).86,TBL-20260214094657-007,0,doi:10.59324/ejtas.2023.1(5).86-TBL-C006,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5
doi:10.59324/ejtas.2023.1(5).86,TBL-20260214094657-008,0,doi:10.59324/ejtas.2023.1(5).86-TBL-C007,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5
doi:10.59324/ejtas.2023.1(5).86,TBL-20260214094657-009,0,doi:10.59324/ejtas.2023.1(5).86-TBL-C008,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5
doi:10.59324/ejtas.2023.1(5).86,TBL-20260214094657-010,0,doi:10.59324/ejtas.2023.1(5).86-TBL-C009,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5
doi:10.59324/ejtas.2023.1(5).86,TBL-20260214094658-011,0,doi:10.59324/ejtas.2023.1(5).86-TBL-C010,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,false,ok,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5,: www.ejtas.com EJTAS 2023 | Volume 1 | Number 5
doi:10.1177/1745691615576761,TBL-20260214094720-001,0,doi:10.1177/1745691615576761-TBL-C001,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,goT maF nuF: noitazinagrO ecnadn ytivit y,goT maF nuF: noitazinagrO ecnadn ytivit y
doi:10.1177/0146167208320555,TBL-20260214094811-006,0,doi:10.1177/0146167208320555-TBL-C001,sample,verified_weak,translation_status:noncausal,true,true,1.0000,true,true,true,noncausal,0.3,noncausal_claim_type,true,ok,age: Western East Asian Paintings Paintings M SD M SD t p,age: Western East Asian Paintings Paintings M SD M SD t p
doi:10.1177/0146167208320555,TBL-20260214094811-006,1,doi:10.1177/0146167208320555-TBL-C002,sample,verified_weak,low_statement_source_overlap|translation_status:noncausal,true,true,0.0652,true,true,true,noncausal,0.3,noncausal_claim_type,true,ok|garbled_statement|needs_article_type_verification,"Culture and Aesthetic Preference: Comparing the Attention to Context of East Asians and Americans Takahiko Masuda University of Alberta Richard Gonzalez University of Michigan Letty Kwan University of Illinois Richard E.Nisbett University of Michigan: Prior research indicates that East Asians are more sen- sitive to contextual information than Westerners. This; : pay greater attention to contextual information than their counterparts in Western cultures (e.g., Ji, Peng, &",age: Ratio of the 38.83 15.98 56.15 24.22 10.39 .001 horizon to the frame
