paper_id,doi,title,year,venue,status,n_tables,n_claims,anchor_coverage,unresolved_environment_rate,unresolved_outcome_rate,theory_link_count,inter_article_relation_count,node_type_tag_rate,edge_type_tag_rate,quality_flags,processed_at
doi:10.3758/s13423-011-0182-x,10.3758/s13423-011-0182-x,Active and passive contributions to spatial learning,2012,,completed_pdf_no_claims,0,0,0.0000,0.0000,0.0000,0,0,0.0000,1.0000,below_anchor_coverage_threshold|completed_pdf_no_claims|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|low_anchor_coverage|low_node_type_tag_rate|no_inter_article_relations|no_table_claims|no_tables_extracted|no_theory_links,2026-02-15T00:01:47.409458+00:00
zotero:Q5YDAT65,,Evaluation of the Impact of Design Parameters on the Acoustic Environment Perceived by Primary Students,2024,,error_pdf_timeout,18,59,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-15T00:03:02.416302+00:00
doi:10.1162/jocn_a_00491,10.1162/jocn_a_00491,Neural Network Configuration and Efficiency Underlies Individual Differences in Spatial Orientation Ability,2014,,error_pdf_timeout,0,57,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-15T00:04:17.422832+00:00
doi:10.1177/001391657684003,10.1177/001391657684003,Spatial and Social Aspects of Crowding Perception,1976,,completed_pdf_no_claims,0,0,0.0000,0.0000,0.0000,0,0,0.0000,1.0000,below_anchor_coverage_threshold|completed_pdf_no_claims|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|low_anchor_coverage|low_node_type_tag_rate|no_inter_article_relations|no_table_claims|no_tables_extracted|no_theory_links,2026-02-15T00:04:17.638331+00:00
doi:10.7454/proust.v3i1.81,10.7454/proust.v3i1.81,"Neuroscience, Wellbeing, and Urban Design: Our Universal Attraction to Vitality",2020,,completed_pdf_no_claims,0,0,0.0000,0.0000,0.0000,0,0,0.0000,1.0000,below_anchor_coverage_threshold|completed_pdf_no_claims|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|low_anchor_coverage|low_node_type_tag_rate|no_inter_article_relations|no_table_claims|no_tables_extracted|no_theory_links,2026-02-15T00:04:20.387139+00:00
doi:10.1080/10630732.2023.2289144,10.1080/10630732.2023.2289144,The Neuro-Cognitive Approach to Urban Planning: Wayfinding Behavior Analysis and its Effect on Urban Planning,2024,,error_pdf_timeout,5,108,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-15T00:05:35.395436+00:00
doi:10.1080/01944363.2018.1526644,10.1080/01944363.2018.1526644,New Directions in Cognitive-Environmental Research: Applications to Urban Planning and Design,2018,,completed_pdf_extracted,1,1,1.0000,1.0000,1.0000,0,0,1.0000,1.0000,high_unresolved_construct_rate|high_unresolved_environment_rate|high_unresolved_outcome_rate|insufficient_inter_article_relations|insufficient_theory_links|no_inter_article_relations|no_theory_links,2026-02-15T00:05:39.061114+00:00
doi:10.1080/13602365.2024.2331505,10.1080/13602365.2024.2331505,Impact of biophilic design parameters on university students’ place attachment and quality of campus life,2024,,error_pdf_timeout,4,217,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-15T00:06:54.071655+00:00
doi:10.1007/3-540-45004-1_7,10.1007/3-540-45004-1_7,Cognition Meets Le Corbusier — Cognitive Principles of Architectural Design,2003,,completed_pdf_no_claims,0,0,0.0000,0.0000,0.0000,0,0,0.0000,1.0000,below_anchor_coverage_threshold|completed_pdf_no_claims|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|low_anchor_coverage|low_node_type_tag_rate|no_inter_article_relations|no_table_claims|no_tables_extracted|no_theory_links,2026-02-15T00:06:57.187755+00:00
doi:10.1007/978-3-031-04714-5_6,10.1007/978-3-031-04714-5_6,Adaptive and Sustainability for Visual and Perceptive Comfort: Neuroscience and Architecture,2022,,error_pdf_timeout,0,109,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-15T00:08:12.194956+00:00
doi:10.1089/acm.2004.10.s-71,10.1089/acm.2004.10.s-71,Healing Spaces: Elements of Environmental Design That Make an Impact on Health,2004,,completed_pdf_no_claims,0,0,0.0000,0.0000,0.0000,0,0,0.0000,1.0000,below_anchor_coverage_threshold|completed_pdf_no_claims|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|low_anchor_coverage|low_node_type_tag_rate|no_inter_article_relations|no_table_claims|no_tables_extracted|no_theory_links,2026-02-15T00:08:19.997575+00:00
doi:10.1162/104648801753168765,10.1162/104648801753168765,Corporeal Experience: A Haptic Way of Knowing,2001,,completed_pdf_no_claims,0,0,0.0000,0.0000,0.0000,0,0,0.0000,1.0000,below_anchor_coverage_threshold|completed_pdf_no_claims|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|low_anchor_coverage|low_node_type_tag_rate|no_inter_article_relations|no_table_claims|no_tables_extracted|no_theory_links,2026-02-15T00:08:23.221006+00:00
doi:10.1080/14649365.2011.564733,10.1080/14649365.2011.564733,"More-than visual approaches to architecture. Vision, touch, technique",2011,,completed_pdf_no_claims,0,0,0.0000,0.0000,0.0000,0,0,0.0000,1.0000,below_anchor_coverage_threshold|completed_pdf_no_claims|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|low_anchor_coverage|low_node_type_tag_rate|no_inter_article_relations|no_table_claims|no_tables_extracted|no_theory_links,2026-02-15T00:08:27.060193+00:00
doi:10.1007/3-540-48384-5_25,10.1007/3-540-48384-5_25,A Formal Model of the Process of Wayfinding in Built Environments,1999,,error_pdf_timeout,0,97,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-15T00:09:42.093708+00:00
doi:10.3389/fpsyg.2015.00637,10.3389/fpsyg.2015.00637,Ecological validity of virtual environments to assess human navigation ability,2015,,error_pdf_timeout,30,69,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-15T00:11:08.372119+00:00
doi:10.1177/0022022117698039,10.1177/0022022117698039,Preferred Interpersonal Distances: A Global Comparison,2017,,completed_pdf_no_claims,0,0,0.0000,0.0000,0.0000,0,0,0.0000,1.0000,below_anchor_coverage_threshold|completed_pdf_no_claims|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|low_anchor_coverage|low_node_type_tag_rate|no_inter_article_relations|no_table_claims|no_tables_extracted|no_theory_links,2026-02-15T00:11:18.370057+00:00
doi:10.1073/pnas.2112318119,10.1073/pnas.2112318119,Multiple representations of the body schema for the same body part,2022,,error_pdf_timeout,18,59,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-15T00:12:33.375930+00:00
doi:10.1016/j.ufug.2008.01.001,10.1016/j.ufug.2008.01.001,The perceived restorativeness of gardens – Assessing the restorativeness of a mixed built and natural scene type,2008,,completed_pdf_no_claims,0,0,0.0000,0.0000,0.0000,0,0,0.0000,1.0000,below_anchor_coverage_threshold|completed_pdf_no_claims|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|low_anchor_coverage|low_node_type_tag_rate|no_inter_article_relations|no_table_claims|no_tables_extracted|no_theory_links,2026-02-15T00:12:36.914860+00:00
doi:10.3390/su16208880,10.3390/su16208880,Cultural Sensitivity and Social Well-Being in Embassy Architecture: Educational Approaches and Design Strategies,2024,,completed_pdf_no_claims,0,0,0.0000,0.0000,0.0000,0,0,0.0000,1.0000,below_anchor_coverage_threshold|completed_pdf_no_claims|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|low_anchor_coverage|low_node_type_tag_rate|no_inter_article_relations|no_table_claims|no_tables_extracted|no_theory_links,2026-02-15T00:12:38.545243+00:00
doi:10.1093/cercor/bhr310,10.1093/cercor/bhr310,Attention Reverses the Effect of Prediction in Silencing Sensory Signals,2012,,error_pdf_timeout,0,120,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-15T00:13:53.553241+00:00
doi:10.1016/j.landurbplan.2012.12.013,10.1016/j.landurbplan.2012.12.013,Associations between park characteristics and perceived restorativeness of small public urban green spaces,2013,,error_pdf_timeout,4,448,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-15T00:15:08.569797+00:00
doi:10.3758/s13428-019-01242-0,10.3758/s13428-019-01242-0,Studying human behavior with virtual reality: The Unity Experiment Framework,2020,,error_pdf_timeout,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-15T00:16:23.580246+00:00
doi:10.1113/jphysiol.2009.172445,10.1113/jphysiol.2009.172445,What is remembered? Role of attention on the encoding and retrieval of hippocampal representations,2009,,error_pdf_timeout,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-15T00:17:38.586717+00:00
