paper_id,production_table_rows,production_garbled_rows,production_garbled_rate,reaudit_table_rows,reaudit_garbled_rows,reaudit_garbled_rate,classification
doi:10.1007/s13762-023-04869-x,12,12,1.0,12,12,1.0,table_fault_reproduced
doi:10.1007/s42413-024-00204-5,16,12,0.75,11,0,0.0,mapping_or_historical_fault_likely
doi:10.1007/s44223-024-00073-0,10,10,1.0,10,10,1.0,table_fault_reproduced
doi:10.1016/0010-0285(78)90006-3,37,37,1.0,37,37,1.0,table_fault_reproduced
doi:10.1016/0010-0285(87)90008-9,61,61,1.0,61,61,1.0,table_fault_reproduced
doi:10.1016/0272-4944(95)90013-6,39,39,1.0,39,39,1.0,table_fault_reproduced
doi:10.1016/b978-0-12-802075-3.00011-5,15,15,1.0,15,15,1.0,table_fault_reproduced
doi:10.1016/b978-0-444-53817-8.00007-4,8,7,0.875,13,1,0.076923,mapping_or_historical_fault_likely
doi:10.1016/j.actpsy.2015.06.005,16,16,1.0,16,16,1.0,table_fault_reproduced
doi:10.1016/j.actpsy.2021.103285,117,88,0.752137,98,13,0.132653,mapping_or_historical_fault_likely
doi:10.1016/j.asej.2022.101810,42,42,1.0,14,14,1.0,table_fault_reproduced
doi:10.1016/j.buildenv.2018.04.029,180,157,0.872222,133,43,0.323308,mixed_or_borderline
doi:10.1016/j.buildenv.2021.108733,12,12,1.0,12,12,1.0,table_fault_reproduced
doi:10.1016/j.compfluid.2019.06.031,80,70,0.875,24,9,0.375,mixed_or_borderline
doi:10.1016/j.enbuild.2022.112079,1,1,1.0,1,1,1.0,table_fault_reproduced
doi:10.1016/j.envres.2020.110169,12,12,1.0,12,3,0.25,mixed_or_borderline
doi:10.1016/j.erss.2016.02.008,96,94,0.979167,48,47,0.979167,table_fault_reproduced
doi:10.1016/j.landurbplan.2012.12.013,36,26,0.722222,9,4,0.444444,table_fault_reproduced
doi:10.1016/j.matdes.2012.06.028,36,27,0.75,9,0,0.0,mapping_or_historical_fault_likely
doi:10.1016/j.neuropsychologia.2014.08.030,2623,1565,0.596645,826,244,0.2954,mixed_or_borderline
doi:10.1016/j.smrv.2007.07.009,2,2,1.0,2,2,1.0,table_fault_reproduced
doi:10.1016/j.tics.2010.06.008,14,14,1.0,28,28,1.0,table_fault_reproduced
doi:10.1017/jmo.2021.17,32,24,0.75,138,0,0.0,mapping_or_historical_fault_likely
doi:10.1017/s1930297500008317,4,3,0.75,1,0,0.0,mapping_or_historical_fault_likely
doi:10.1037/0033-295x.113.2.358,129,86,0.666667,178,1,0.005618,mapping_or_historical_fault_likely
doi:10.1037/a0037983,9,9,1.0,3,3,1.0,table_fault_reproduced
doi:10.1038/s41562-019-0718-z,12,12,1.0,3,3,1.0,table_fault_reproduced
doi:10.1038/s41598-022-20649-y,12,11,0.916667,138,5,0.036232,mapping_or_historical_fault_likely
doi:10.1068/b2725,19,19,1.0,19,19,1.0,table_fault_reproduced
doi:10.1068/b33050,2,1,0.5,2,1,0.5,table_fault_reproduced
doi:10.1068/p5292,20,16,0.8,28,1,0.035714,mapping_or_historical_fault_likely
doi:10.1068/p5921,51,9,0.176471,17,3,0.176471,mixed_or_borderline
doi:10.1073/pnas.2112318119,353,245,0.694051,117,44,0.376068,mixed_or_borderline
doi:10.1080/00038628.2018.1523129,66,66,1.0,22,22,1.0,table_fault_reproduced
doi:10.1080/00140130903154579,90,90,1.0,45,45,1.0,table_fault_reproduced
doi:10.1080/01441647.2012.712555,63,63,1.0,21,21,1.0,table_fault_reproduced
doi:10.1080/13527258.2017.1286607,8,6,0.75,2,0,0.0,mapping_or_historical_fault_likely
doi:10.1080/13602365.2024.2331505,15,15,1.0,15,15,1.0,table_fault_reproduced
doi:10.1080/17508975.2020.1732859,26,15,0.576923,86,3,0.034884,mapping_or_historical_fault_likely
doi:10.1080/23744731.2022.2049639,20,20,1.0,10,10,1.0,table_fault_reproduced
doi:10.1088/1755-1315/1218/1/012020,4,3,0.75,119,0,0.0,mapping_or_historical_fault_likely
doi:10.1093/cercor/bhr310,13,13,1.0,13,13,1.0,table_fault_reproduced
doi:10.1098/rsos.240762,156,104,0.666667,525,1,0.001905,mapping_or_historical_fault_likely
doi:10.1108/17465729200400010,12,12,1.0,12,3,0.25,mixed_or_borderline
doi:10.1111/cogs.12518,3075,1273,0.413984,621,105,0.169082,mapping_or_historical_fault_likely
doi:10.1111/j.1559-1816.1971.tb00350.x,9,8,0.888889,9,8,0.888889,table_fault_reproduced
doi:10.1111/j.1939-1668.2004.tb00398.x,23,22,0.956522,23,22,0.956522,table_fault_reproduced
doi:10.1111/joid.12165,16,13,0.8125,8,1,0.125,mapping_or_historical_fault_likely
doi:10.1111/joid.12179,6,2,0.333333,2,0,0.0,mixed_or_borderline
doi:10.1111/joid.12224,8,6,0.75,12,1,0.083333,mapping_or_historical_fault_likely
doi:10.1111/psyp.14121,28,21,0.75,10,2,0.2,mapping_or_historical_fault_likely
doi:10.1111/sjop.12171,6,6,1.0,3,3,1.0,table_fault_reproduced
doi:10.1113/jphysiol.2009.172445,186,186,1.0,93,93,1.0,table_fault_reproduced
doi:10.1121/1.1490363,37,37,1.0,37,37,1.0,table_fault_reproduced
doi:10.1121/1.1918154,126,126,1.0,63,63,1.0,table_fault_reproduced
doi:10.1121/1.2839283,20,17,0.85,6,2,0.333333,mixed_or_borderline
doi:10.1145/2079216.2079270,6,3,0.5,3,0,0.0,mapping_or_historical_fault_likely
doi:10.1145/3676488,30,24,0.8,6,3,0.5,table_fault_reproduced
doi:10.1146/annurev-neuro-072116-031215,134,134,1.0,67,67,1.0,table_fault_reproduced
doi:10.1146/annurev.psych.47.1.273,44,37,0.840909,6,2,0.333333,mixed_or_borderline
doi:10.1162/105474603322761289,192,152,0.791667,59,23,0.389831,mixed_or_borderline
doi:10.1162/jocn_a_00491,43,43,1.0,43,43,1.0,table_fault_reproduced
doi:10.1167/10.9.6,4,3,0.75,1,0,0.0,mapping_or_historical_fault_likely
doi:10.1177/0013916502238868,43,42,0.976744,43,42,0.976744,table_fault_reproduced
doi:10.1177/0018720819892383,84,63,0.75,96,6,0.0625,mapping_or_historical_fault_likely
doi:10.1177/0146167208320555,49,32,0.653061,17,4,0.235294,mixed_or_borderline
doi:10.1177/03010066211020598,16,16,1.0,13,3,0.230769,mixed_or_borderline
doi:10.1177/0885412205286160,9,9,1.0,9,9,1.0,table_fault_reproduced
doi:10.1177/1477153509104765,52,52,1.0,52,52,1.0,table_fault_reproduced
doi:10.1177/1477153517750714,312,312,1.0,104,104,1.0,table_fault_reproduced
doi:10.1177/1745691615576761,4,3,0.75,1,0,0.0,mapping_or_historical_fault_likely
doi:10.1177/1754073911410744,168,126,0.75,60,0,0.0,mapping_or_historical_fault_likely
doi:10.1177/1937586720932276,12,9,0.75,6,0,0.0,mapping_or_historical_fault_likely
doi:10.1177/2158244012445585,2,2,1.0,1,1,1.0,table_fault_reproduced
doi:10.1177/2398212818810686,5,5,1.0,5,5,1.0,table_fault_reproduced
doi:10.1184/r1/23538486.v1,139,36,0.258993,91,0,0.0,mixed_or_borderline
doi:10.1186/1880-6805-32-7,4,4,1.0,4,4,1.0,table_fault_reproduced
doi:10.1260/135101003768965960,35,35,1.0,35,35,1.0,table_fault_reproduced
doi:10.13135/2384-8677/9265,32,24,0.75,8,0,0.0,mapping_or_historical_fault_likely
doi:10.1371/journal.pone.0123783,316,267,0.844937,140,8,0.057143,mapping_or_historical_fault_likely
doi:10.1371/journal.pone.0243259,175,123,0.702857,35,9,0.257143,mixed_or_borderline
doi:10.1371/journal.pone.0265412,64,55,0.859375,27,4,0.148148,mapping_or_historical_fault_likely
doi:10.1371/journal.pone.0307934,147,55,0.37415,37,0,0.0,mixed_or_borderline
doi:10.14288/1.0071305,336,275,0.818452,124,52,0.419355,table_fault_reproduced
doi:10.15126/thesis.901052,1212,958,0.790429,621,105,0.169082,mapping_or_historical_fault_likely
doi:10.15388/20-infor419,4,3,0.75,2,0,0.0,mapping_or_historical_fault_likely
doi:10.1613/jair.301,36,35,0.972222,36,35,0.972222,table_fault_reproduced
doi:10.17179/excli2021-3974,112,87,0.776786,47,4,0.085106,mapping_or_historical_fault_likely
doi:10.17863/cam.41365,945,701,0.741799,268,35,0.130597,mapping_or_historical_fault_likely
doi:10.18208/ksdc.2022.28.2.245,56,42,0.75,14,0,0.0,mapping_or_historical_fault_likely
doi:10.18419/opus-9385,4718,2996,0.635015,618,186,0.300971,mixed_or_borderline
doi:10.18848/2325-1328/cgp/v06i01/38559,28,21,0.75,30,0,0.0,mapping_or_historical_fault_likely
doi:10.20944/preprints201907.0323.v1,2,1,0.5,4,0,0.0,mapping_or_historical_fault_likely
doi:10.22068/ijaup.761,4,4,1.0,1,1,1.0,table_fault_reproduced
doi:10.24382/5191,212,170,0.801887,216,14,0.064815,mapping_or_historical_fault_likely
doi:10.25916/sut.26402764.v1,546,285,0.521978,102,25,0.245098,mixed_or_borderline
doi:10.26204/kluedo/7316,156,127,0.814103,98,13,0.132653,mapping_or_historical_fault_likely
doi:10.26687/archnet-ijar.v8i2.436,12,9,0.75,3,0,0.0,mapping_or_historical_fault_likely
doi:10.3389/fbuil.2024.1431780,88,66,0.75,49,3,0.061224,mapping_or_historical_fault_likely
doi:10.3389/ffgc.2023.1218134,104,82,0.788462,26,4,0.153846,mapping_or_historical_fault_likely
doi:10.3389/fnhum.2013.00083,4,3,0.75,2,0,0.0,mapping_or_historical_fault_likely
doi:10.3389/fnhum.2021.771711,32,32,1.0,32,32,1.0,table_fault_reproduced
doi:10.3389/fnsys.2021.672740,84,56,0.666667,33,0,0.0,mapping_or_historical_fault_likely
doi:10.3389/fpsyg.2015.00637,483,213,0.440994,207,5,0.024155,mapping_or_historical_fault_likely
doi:10.3389/fpsyg.2017.01454,156,104,0.666667,525,1,0.001905,mapping_or_historical_fault_likely
doi:10.3389/fpsyg.2020.560833,7,7,1.0,7,7,1.0,table_fault_reproduced
doi:10.3389/fpsyg.2021.699962,53,53,1.0,53,53,1.0,table_fault_reproduced
doi:10.3389/frsc.2021.690055,231,231,1.0,77,77,1.0,table_fault_reproduced
doi:10.3390/app11093942,60,53,0.883333,19,8,0.421053,table_fault_reproduced
doi:10.3390/app13052950,3,2,0.666667,1,0,0.0,mapping_or_historical_fault_likely
doi:10.3390/app14072699,16,12,0.75,6,0,0.0,mapping_or_historical_fault_likely
doi:10.3390/buildings13082000,14,14,1.0,7,7,1.0,table_fault_reproduced
doi:10.3390/buildings14040957,8,6,0.75,23,6,0.26087,mixed_or_borderline
doi:10.3390/buildings14041115,32,26,0.8125,8,2,0.25,mixed_or_borderline
doi:10.3390/buildings14103293,42,42,1.0,21,21,1.0,table_fault_reproduced
doi:10.3390/buildings14113408,207,207,1.0,4,4,1.0,table_fault_reproduced
doi:10.3390/buildings7020032,172,129,0.75,178,1,0.005618,mapping_or_historical_fault_likely
doi:10.3390/en15155390,4,3,0.75,1,0,0.0,mapping_or_historical_fault_likely
doi:10.3390/gels4020043,20,18,0.9,5,3,0.6,table_fault_reproduced
doi:10.3390/ijerph10041439,12,6,0.5,7,0,0.0,mapping_or_historical_fault_likely
doi:10.3390/ijerph110202108,207,204,0.985507,69,68,0.985507,table_fault_reproduced
doi:10.3390/ijerph14070773,6,4,0.666667,2,0,0.0,mapping_or_historical_fault_likely
doi:10.3390/ijerph14070801,16,12,0.75,4,0,0.0,mapping_or_historical_fault_likely
doi:10.3390/ijerph16244934,32,32,1.0,16,16,1.0,table_fault_reproduced
doi:10.3390/ijerph18020535,8,6,0.75,45,1,0.022222,mapping_or_historical_fault_likely
doi:10.3390/ijerph182312510,31,31,1.0,31,31,1.0,table_fault_reproduced
doi:10.3390/ijerph7031036,8,4,0.5,4,0,0.0,mapping_or_historical_fault_likely
doi:10.3390/land13121978,16,16,1.0,4,4,1.0,table_fault_reproduced
doi:10.3390/s22218135,45,45,1.0,15,15,1.0,table_fault_reproduced
doi:10.3390/s24123944,5,5,1.0,5,5,1.0,table_fault_reproduced
doi:10.3390/s24237838,8,8,1.0,2,2,1.0,table_fault_reproduced
doi:10.3390/su12051830,225,225,1.0,75,75,1.0,table_fault_reproduced
doi:10.3390/su12104263,24,21,0.875,8,7,0.875,table_fault_reproduced
doi:10.3390/su12176760,16,14,0.875,7,2,0.285714,mixed_or_borderline
doi:10.3390/su12239813,8,8,1.0,2,2,1.0,table_fault_reproduced
doi:10.3390/su13168816,4,4,1.0,2,1,0.5,table_fault_reproduced
doi:10.3390/su14137885,12,11,0.916667,4,2,0.5,table_fault_reproduced
doi:10.3390/su152216104,210,210,1.0,70,70,1.0,table_fault_reproduced
doi:10.3390/su16124935,72,72,1.0,23,21,0.913043,table_fault_reproduced
doi:10.3390/su162310251,21,21,1.0,21,21,1.0,table_fault_reproduced
doi:10.3758/s13421-021-01209-7,80,77,0.9625,19,16,0.842105,table_fault_reproduced
doi:10.3758/s13428-019-01242-0,24,22,0.916667,12,11,0.916667,table_fault_reproduced
doi:10.4000/ambiances.315,36,27,0.75,9,0,0.0,mapping_or_historical_fault_likely
doi:10.4236/cus.2019.71001,12,8,0.666667,4,0,0.0,mapping_or_historical_fault_likely
doi:10.47436/jaars.2022.98893.1051,48,36,0.75,12,0,0.0,mapping_or_historical_fault_likely
doi:10.48550/arxiv.2102.03629,4,3,0.75,3,0,0.0,mapping_or_historical_fault_likely
doi:10.48550/arxiv.2309.15840,36,36,1.0,12,12,1.0,table_fault_reproduced
doi:10.48550/arxiv.2406.02728,16,16,1.0,4,4,1.0,table_fault_reproduced
doi:10.5120/ijca2016908617,4,4,1.0,1,1,1.0,table_fault_reproduced
doi:10.5281/zenodo.7191265,5,5,1.0,5,5,1.0,table_fault_reproduced
doi:10.5281/zenodo.7951750,4,3,0.75,12,1,0.083333,mapping_or_historical_fault_likely
doi:10.54864/planarch.1491955,422,163,0.386256,210,3,0.014286,mixed_or_borderline
doi:10.59324/ejtas.2023.1(5).86,40,30,0.75,1,0,0.0,mapping_or_historical_fault_likely
doi:10.7302/1414,21,11,0.52381,13,3,0.230769,mixed_or_borderline
sha256:4f30e0b5608b,69,69,1.0,69,69,1.0,table_fault_reproduced
sha256:bae8d5930451,4,2,0.5,9,0,0.0,mapping_or_historical_fault_likely
zotero:2CHCFQSX,24,18,0.75,9,2,0.222222,mixed_or_borderline
zotero:2E64CG9B,304,236,0.776316,187,7,0.037433,mapping_or_historical_fault_likely
zotero:2K5RUFVM,396,298,0.752525,291,1,0.003436,mapping_or_historical_fault_likely
zotero:4Q9UNT4M,628,506,0.805732,221,21,0.095023,mapping_or_historical_fault_likely
zotero:4QHCLZ4R,520,397,0.763462,134,7,0.052239,mapping_or_historical_fault_likely
zotero:6TNNU66U,122,122,1.0,61,61,1.0,table_fault_reproduced
zotero:878RTY64,124,94,0.758065,78,2,0.025641,mapping_or_historical_fault_likely
zotero:BDKAMCED,51,33,0.647059,7,0,0.0,mapping_or_historical_fault_likely
zotero:BYQ83W2G,316,267,0.844937,140,8,0.057143,mapping_or_historical_fault_likely
zotero:D3QWDYAQ,28,21,0.75,10,0,0.0,mapping_or_historical_fault_likely
zotero:F4X7UZLU,1428,573,0.401261,228,4,0.017544,mapping_or_historical_fault_likely
zotero:FCWVA4AN,4,3,0.75,1,0,0.0,mapping_or_historical_fault_likely
zotero:FIZG8FDN,40,40,1.0,40,40,1.0,table_fault_reproduced
zotero:H2N34YKV,88,67,0.761364,30,1,0.033333,mapping_or_historical_fault_likely
zotero:H6V4IFMZ,112,106,0.946429,49,22,0.44898,table_fault_reproduced
zotero:LET7QMBL,80,60,0.75,33,0,0.0,mapping_or_historical_fault_likely
zotero:MRZL6AGQ,276,208,0.753623,207,5,0.024155,mapping_or_historical_fault_likely
zotero:Q5YDAT65,353,245,0.694051,117,44,0.376068,mixed_or_borderline
zotero:RDW5IMHH,12,9,0.75,3,0,0.0,mapping_or_historical_fault_likely
zotero:SMQEULKJ,4,3,0.75,1,0,0.0,mapping_or_historical_fault_likely
zotero:SUUECVYU,12,12,1.0,4,3,0.75,table_fault_reproduced
zotero:TFKWSKYP,48,48,1.0,16,16,1.0,table_fault_reproduced
zotero:TR3IUBWZ,19,19,1.0,19,19,1.0,table_fault_reproduced
zotero:TVRKWFKJ,15,15,1.0,5,5,1.0,table_fault_reproduced
zotero:UGQXI6YQ,3,3,1.0,3,3,1.0,table_fault_reproduced
