paper_id,title,topic_bucket,table_id,row_index,claim_id,claim_type,content,confidence,citation,intervention,control,outcome,sample_size,effect_size,effect_size_type,ci_lower,ci_upper,p_value,source
doi:10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,acoustic,TBL-20260213154632-019,0,doi:10.17509/interlude.v3i2.71595-TBL-C008,finding,"Fay, R. R. (1988). Comparative psychoacoustics. Hearing research, 34(3), 295-305.: Fossey, E., Harvey, C., McDermott, F., & Davidson, L. (2002). Understanding and evaluating",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,acoustic,TBL-20260213154632-021,0,doi:10.17509/interlude.v3i2.71595-TBL-C009,finding,": hearing loss: a literature review of the underlying mechanism, pathophysiology,",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,acoustic,TBL-20260213154632-022,0,doi:10.17509/interlude.v3i2.71595-TBL-C010,sample,"age: Surgery, 46(1), 41.",0.85,,,,,,,,,,,codex_pdfplumber
doi:10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,acoustic,TBL-20260213154632-023,0,doi:10.17509/interlude.v3i2.71595-TBL-C011,finding,: political violence and flight—An exploratory study on risks and opportunities of music,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,acoustic,TBL-20260213154632-023,1,doi:10.17509/interlude.v3i2.71595-TBL-C012,finding,": therapy. The Arts in Psychotherapy, 58, 33-41.",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,acoustic,TBL-20260213154633-027,0,doi:10.17509/interlude.v3i2.71595-TBL-C013,finding,: Dan Suara Alam (Nature Sound) Terhadap Tingkat Nyeri Dan Kecemasan Pasien,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,acoustic,TBL-20260213154633-027,1,doi:10.17509/interlude.v3i2.71595-TBL-C014,finding,": (Literature Review). Jurnal Ilmu Keperawatan dan Kebidanan, 1(8).",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,acoustic,TBL-20260213154633-030,0,doi:10.17509/interlude.v3i2.71595-TBL-C015,finding,: dimensional sonification. In 25th international conference on auditory displays,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,acoustic,TBL-20260213154633-030,1,doi:10.17509/interlude.v3i2.71595-TBL-C016,finding,": (ICAD2019), Newcastle (pp. 277-284).",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1257/app.20220532,"Noise, Cognitive Function, and Worker Productivity",acoustic,TBL-20260213154634-033,0,doi:10.1257/app.20220532-TBL-C001,finding,: k session; Misc. data: collection,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1257/app.20220532,"Noise, Cognitive Function, and Worker Productivity",acoustic,TBL-20260213154634-034,0,doi:10.1257/app.20220532-TBL-C002,finding,: rk session; WTP: collection,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1257/app.20220532,"Noise, Cognitive Function, and Worker Productivity",acoustic,TBL-20260213154634-035,0,doi:10.1257/app.20220532-TBL-C003,finding,: rk session,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1257/app.20220532,"Noise, Cognitive Function, and Worker Productivity",acoustic,TBL-20260213154634-036,0,doi:10.1257/app.20220532-TBL-C004,finding,Experiment 1: Experiment 2,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154636-038,0,doi:10.1371/journal.pone.0307934-TBL-C001,finding,Japanesedesign: Ilexpedunculosa,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154636-038,1,doi:10.1371/journal.pone.0307934-TBL-C002,finding,Japanesedesign: Symplocosmyrtacea,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154636-038,2,doi:10.1371/journal.pone.0307934-TBL-C003,finding,Japanesedesign: Euryajaponicavar.japonica,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154636-038,3,doi:10.1371/journal.pone.0307934-TBL-C004,finding,Japanesedesign: Pierisjaponicasubsp.Japonica,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154636-038,4,doi:10.1371/journal.pone.0307934-TBL-C005,finding,Japanesedesign: Fatsiajaponica,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154636-038,5,doi:10.1371/journal.pone.0307934-TBL-C006,finding,Japanesedesign: Aucubajaponica,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154636-038,6,doi:10.1371/journal.pone.0307934-TBL-C007,finding,Japanesedesign: Camellia,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154636-038,7,doi:10.1371/journal.pone.0307934-TBL-C008,finding,Japanesedesign: Rhaphiolepisumbellata,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154636-038,8,doi:10.1371/journal.pone.0307934-TBL-C009,finding,Japanesedesign: Polystichumpolyblepharum,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,0,doi:10.1371/journal.pone.0307934-TBL-C010,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,1,doi:10.1371/journal.pone.0307934-TBL-C011,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,2,doi:10.1371/journal.pone.0307934-TBL-C012,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,3,doi:10.1371/journal.pone.0307934-TBL-C013,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,4,doi:10.1371/journal.pone.0307934-TBL-C014,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,5,doi:10.1371/journal.pone.0307934-TBL-C015,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,6,doi:10.1371/journal.pone.0307934-TBL-C016,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,7,doi:10.1371/journal.pone.0307934-TBL-C017,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,8,doi:10.1371/journal.pone.0307934-TBL-C018,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,9,doi:10.1371/journal.pone.0307934-TBL-C019,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,10,doi:10.1371/journal.pone.0307934-TBL-C020,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,11,doi:10.1371/journal.pone.0307934-TBL-C021,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,12,doi:10.1371/journal.pone.0307934-TBL-C022,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,13,doi:10.1371/journal.pone.0307934-TBL-C023,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,14,doi:10.1371/journal.pone.0307934-TBL-C024,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,15,doi:10.1371/journal.pone.0307934-TBL-C025,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-039,16,doi:10.1371/journal.pone.0307934-TBL-C026,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-040,0,doi:10.1371/journal.pone.0307934-TBL-C027,finding,Stroop_congruent: Mean; : Mean; Stroop_incongruent: Mean; 1-backtask: Mean,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-040,1,doi:10.1371/journal.pone.0307934-TBL-C028,finding,Stroop_congruent: 98.46; : 87.53; Stroop_incongruent: 96.60; 1-backtask: 96.34,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-040,2,doi:10.1371/journal.pone.0307934-TBL-C029,finding,Stroop_congruent: 99.54; : 87.44; Stroop_incongruent: 97.53; 1-backtask: 96.93,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-040,3,doi:10.1371/journal.pone.0307934-TBL-C030,finding,Stroop_congruent: 98.91; : 85.27; Stroop_incongruent: 98.30; 1-backtask: 96.57,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-040,4,doi:10.1371/journal.pone.0307934-TBL-C031,finding,"Stroop_congruent: Designfactor:(2,34)=1.59; 1-backtask: (2,34)=0.20",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-040,5,doi:10.1371/journal.pone.0307934-TBL-C032,finding,"Stroop_congruent: Taskfactor:(1,17)=13.62",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-040,6,doi:10.1371/journal.pone.0307934-TBL-C033,finding,"Stroop_congruent: Design×taskcondition:(2,34)=1.68",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-040,7,doi:10.1371/journal.pone.0307934-TBL-C034,finding,Stroop_congruent: Designfactor:0.09; 1-backtask: 0.12,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-040,8,doi:10.1371/journal.pone.0307934-TBL-C035,finding,Stroop_congruent: Taskconditionfactor:0.45,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-040,9,doi:10.1371/journal.pone.0307934-TBL-C036,finding,Stroop_congruent: Design×taskcondition:0.09,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-040,10,doi:10.1371/journal.pone.0307934-TBL-C037,finding,Stroop_congruent: Designfactor:0.22; 1-backtask: 0.80,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-040,11,doi:10.1371/journal.pone.0307934-TBL-C038,finding,Stroop_congruent: Taskconditionfactor:<0.01,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-040,12,doi:10.1371/journal.pone.0307934-TBL-C039,finding,Stroop_congruent: Design×taskcondition:0.20,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-040,13,doi:10.1371/journal.pone.0307934-TBL-C040,finding,Stroop_congruent: Taskfactor:congruent>incongruent(p<0.01),0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-040,14,doi:10.1371/journal.pone.0307934-TBL-C041,finding,Stroop_congruent: Stroop_congruent; ×: ×; Stroop_incongruent: Stroop_incongruent; 1-backtask: 1-backtask,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.1371/journal.pone.0307934,The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,affect,TBL-20260213154637-040,15,doi:10.1371/journal.pone.0307934-TBL-C042,finding,Stroop_congruent: Mean; : Mean; Stroop_incongruent: Mean; 1-backtask: Mean,0.6,,,,,,,,,,,codex_pdfplumber
