title,authors,year,venue,doi,landing_url,pdf_url,method,manipulated_feature,outcomes,topic_tags,pdf_host_domain,cited_by_scholar_total,affiliation_hint,pdf_available,priority_score
The neuroaesthetics of architectural spaces,"Chatterjee, A.; Coburn, A.; Weinberger, A.",2021,Cognitive Processing,10.1007/s10339-021-01043-4,https://link.springer.com/article/10.1007/s10339-021-01043-4,https://neuroaesthetics.med.upenn.edu/assets/user-content/documents/publications/chatterjee-coburn-weinberger-2021.pdf,review + reanalysis,"prospect-refuge, architectural aesthetics constructs",conceptual + reanalysis,neuroaesthetics; prospect-refuge; architecture,neuroaesthetics.med.upenn.edu,81.0,University of Pennsylvania (PDF host),True,100081.0
EEG-based investigation of the impact of room size and window placement on cognitive performance,"Cruz-Garza, J.G.; Darfler, M.; Rounds, J.D.; Gao, E.; et al.",2022,Journal of Building Engineering,10.1016/j.jobe.2022.104552,https://www.sciencedirect.com/science/article/pii/S2352710222005538,https://arxiv.org/pdf/2102.03629,EEG during cognitive tasks in VR classroom,room size; window placement,cognitive performance; EEG features,room size; windows; cognition; EEG; VR,arxiv.org,76.0,arXiv (preprint server),True,100076.0
Therapeutic garden with contemplative features induces desirable changes in mood and brain activity in depressed adults,"Olszewska-Guizzo, A.; Fogel, A.; Escoffier, N.; Sia, A.; et al.",2022,Frontiers in Psychiatry,10.3389/fpsyt.2022.757056,https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2022.757056/full,https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2022.757056/pdf,EEG + fNIRS + mood,contemplative garden features (landscape design),mood change; brain activity,nature; contemplative; affect; EEG; fNIRS,www.frontiersin.org,62.0,,True,100062.0
Using posterior EEG theta band to assess the effects of architectural designs on landmark recognition in an urban setting,"Rounds, J.D.; Cruz-Garza, J.G.; Kalantari, S.",2020,Frontiers in Human Neuroscience,10.3389/fnhum.2020.584385,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2020.584385/full,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2020.584385/pdf,EEG in urban landmark recognition task,architectural design characteristics of landmarks/streetscapes,landmark recognition; EEG theta; cognition,urban design; landmarks; cognition; EEG,www.frontiersin.org,57.0,Frontiers (publisher PDF),True,100057.0
Electrophysiological evaluation of perceived complexity in streetscapes,"Kacha, L.; Matsumoto, N.; Mansouri, A.",2015,Journal of Asian Architecture and Building Engineering,10.3130/jaabe.14.585,https://www.tandfonline.com/doi/abs/10.3130/jaabe.14.585%4010.1080/tfocoll.2022.0.issue-best-paper-prize-asian-architecture-2011-2019,https://www.tandfonline.com/doi/pdf/10.3130/jaabe.14.585%4010.1080/tfocoll.2022.0.issue-best-paper-prize-asian-architecture-2011-2019,EEG,streetscape perceived complexity,perceived complexity + electrophysiology,visual complexity; streetscape; EEG,www.tandfonline.com,50.0,,True,100050.0
Physiological effects of visual stimulation with full-scale wall images composed of vertically and horizontally arranged wooden elements,"Nakamura, M.; Ikei, H.; Miyazaki, Y.",2019,Journal of Wood Science,10.1186/s10086-019-1834-0,https://link.springer.com/article/10.1186/s10086-019-1834-0,https://link.springer.com/content/pdf/10.1186/s10086-019-1834-0.pdf,physiology + NIRS/EEG (per paper); visual stimulation,wooden wall patterns (vertical vs horizontal elements),physiological responses; potentially affect/relaxation,materials; wood; visual pattern; physiology,link.springer.com,36.0,Springer (publisher PDF),True,100036.0
EEG-based investigation of the impact of classroom design on cognitive performance of students,"Cruz-Garza, J.G.; Darfler, M.; Rounds, J.D.; Gao, E.; et al.",2021,arXiv preprint,arXiv:2102.03629,https://arxiv.org/abs/2102.03629,https://arxiv.org/pdf/2102.03629,EEG + VR classroom; cognitive tasks,classroom design elements (incl. room dimensions/windows),EEG features; cognitive performance,classroom; VR; cognition; EEG,arxiv.org,28.0,arXiv (preprint server),True,100028.0
Neural correlates of nature stimuli: an fMRI study,"Pati, D.; O'Boyle, M.; Amor, C.; Hou, J.; et al.",2014,Health Environments Research & Design Journal (HERD),10.1177/193758671400700202,https://journals.sagepub.com/doi/abs/10.1177/193758671400700202,https://www.researchgate.net/profile/Michael-Oboyle-2/publication/260271711_Neural_Correlates_of_Nature_Stimuli_An_fMRI_Study/links/5609a51708ae840a08d3c312/Neural-Correlates-of-Nature-Stimuli-An-fMRI-Study.pdf,fMRI,"nature stimuli in built settings (e.g., ceiling images)",neural correlates of nature exposure; affect/stress proxies,nature imagery; biophilia; affect; fMRI,www.researchgate.net,25.0,ResearchGate (user-uploaded copy),True,100025.0
Probing phenomenological experiences through electroencephalography brainwave signals in neuroarchitecture study,"Vijayan, V.T.; Embi, M.R.",2019,International Journal of Built Environment and Sustainability,,https://ijbes.utm.my/index.php/ijbes/article/view/360,https://ijbes.utm.my/index.php/ijbes/article/download/360/177,EEG,phenomenological experience in architectural contexts,EEG brainwave signals,EEG; experience; neuroarchitecture,ijbes.utm.my,25.0,Universiti Teknologi Malaysia (host),True,100025.0
Enhancing cognitive performance and physiological benefit in workspaces through patterns of biophilic design: a restorative approach,"Zhang, P.; Yu, Z.; Hou, G.; Shu, P.; Bo, Y.; Shi, Y.; Nie, R.",2024,Buildings,10.3390/buildings14103293,https://www.mdpi.com/2075-5309/14/10/3293,https://www.mdpi.com/2075-5309/14/10/3293/pdf,cognitive task + fNIRS + subjective scales,biophilic design patterns (incl. natural materials/wood patterns),cognitive performance; physiological responses,biophilic; materials; cognition; fNIRS,www.mdpi.com,13.0,MDPI (publisher PDF),True,100013.0
The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,"Fukumoto, H.; Shimoda, M.; Hoshino, S.",2024,PLOS ONE,10.1371/journal.pone.0307934,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0307934,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0307934&type=printable,experiment,indoor biophilic greening design variations,psychological + physiological responses; cognitive performance,plants; biophilic; office; cognition; physiology,journals.plos.org,12.0,,True,100012.0
From savannas to settlements: Exploring cognitive foundations for the design of urban spaces,"Brown, M.G.; Lee, C.C.",2016,Frontiers in Psychology,10.3389/fpsyg.2016.01607,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2016.01607/full,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2016.01607/pdf,review/theory,evolutionary/cognitive foundations for urban design,agenda for experimentation,prospect-refuge; urban design; cognition,www.frontiersin.org,8.0,,True,100008.0
Cognitive efficiency in VR simulated natural indoor environments examined through EEG and affective responses,"Kim, S.",2025,Scientific Reports,10.1038/s41598-025-18629-z,https://www.nature.com/articles/s41598-025-18629-z,https://www.nature.com/articles/s41598-025-18629-z.pdf,EEG + VR + affective ratings,"natural indoor environment features (biophilic/naturalness, incl. materials/plants cues)",cognitive efficiency; affective responses; EEG,biophilic; naturalness; cognition; affect; EEG; VR,www.nature.com,8.0,Nature Portfolio (publisher PDF),True,100008.0
Biophilic design and restorative effects: a neuropsychological study of healthy indoor workspaces in urban contexts,"Youn, C.H.; Kang, M.; Lee, J.",2025,International Journal of Environmental Research and Public Health,,https://www.mdpi.com/1660-4601/22/10/1571,https://www.mdpi.com/1660-4601/22/10/1571/pdf,neuropsychological study (reports fNIRS context in abstract),indoor plants/biophilic workspace,cognitive performance differences; restorative effects,biophilic; plants; cognition; office,www.mdpi.com,2.0,,True,100002.0
Role of room size and interaction distance on stress-related feelings and social interaction of dyads,"Blanchet, M.L.",1977,Dissertation (Virginia Tech),,https://vtechworks.lib.vt.edu/items/e42e1fbd-2e36-43ca-9af1-244c9757f139,https://vtechworks.lib.vt.edu/bitstreams/10e5d982-91ca-4b07-ae34-f2dbc82b69fc/download,experimental,room size; interaction distance,stress feelings; social interaction,crowding; room size; dyads,vtechworks.lib.vt.edu,2.0,Virginia Tech (repository),True,100002.0
Electroencephalogram-based analysis of attention in void and solid architectural spaces,"Choi, T.H.; Ji, S.Y.; Jun, H.J.",2025,Journal of Asian Architecture and Building Engineering,10.1080/13467581.2025.2557018,https://www.tandfonline.com/doi/abs/10.1080/13467581.2025.2557018,https://www.tandfonline.com/doi/pdf/10.1080/13467581.2025.2557018,EEG,void vs solid architectural spaces,attention (EEG-based),spatial configuration; attention; EEG,www.tandfonline.com,1.0,,True,100001.0
Lighting effects on visual and cognitive adaptation in multimedia classrooms: a multimodal neurophysiological study,"Wang, M.; Guo, N.; Liu, Y.; Fu, Y.; Zhou, X.",2025,Building and Environment,10.1016/j.buildenv.2025.112?? (check publisher page),https://www.sciencedirect.com/science/article/pii/S0360132325011576,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5271450,multimodal neurophysiology (reported as multimodal),daylight vs artificial lighting in classrooms,visual load; attention; cognitive adaptation,lighting; classrooms; cognition; neurophysiology,papers.ssrn.com,,SSRN (preprint server),True,100000.0
Neurophysiological and Psychological Effects of Color and Ceiling Height in Learning Spaces: An EEG Study in Virtual Reality,"Kim, S.; Kim, N.",2025,SSRN preprint,SSRN:5162685,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5162685,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5162685,EEG + VR + self-report,color; ceiling height in learning spaces,neurophysiology; psychological measures,color; ceiling height; learning; EEG; VR,papers.ssrn.com,,SSRN (preprint server),True,100000.0
When Sound Helps or Hurts: Behavioral and EEG Evidence on the Dual Effects of Indoor Acoustic Environments on Office Work Performance,"Chong, D.; Zhu, W.; Liu, T.; Hou, H.; Zhang, Y.; Su, Y.",2025,Buildings,10.3390/buildings16010069,https://www.mdpi.com/2075-5309/16/1/69,https://www.mdpi.com/2075-5309/16/1/69/pdf,EEG + office task performance,acoustic intensity; sound type in office,work performance; EEG measures,acoustics; noise; cognition; EEG; office,www.mdpi.com,,MDPI (publisher PDF),True,100000.0
Color matters: investigating stress recovery in VR-simulated interior environments using fNIRS and anxiety measures,"Dehan, J.; Wenan, L.; Xingkai, W.; Guobin, X.",2025,Building and Environment,10.1016/j.buildenv.2025.110819,https://www.sciencedirect.com/science/article/pii/S0360132325010819,https://livrepository.liverpool.ac.uk/3194227/1/1-s2.0-S0360132325010819-main.pdf,fNIRS + VR + self-report,wall color (stress recovery context),stress/anxiety measures; fNIRS signals,color; stress; fNIRS; VR,livrepository.liverpool.ac.uk,,University of Liverpool (repository host),True,100000.0
Spatial perception of ceiling height and type variation in immersive virtual environments,"Cha, S.H.; Koo, C.; Kim, T.W.; Hong, T.",2019,Building and Environment,10.1016/j.buildenv.2019.106352,https://www.sciencedirect.com/science/article/pii/S0360132319304950,,VR + surveys (affective/spatial perception),ceiling height; ceiling type variations,spatial perception; affective response,ceiling height; VR; perception; affect,,121.0,,False,121.0
Externally-induced meditative states: an exploratory fMRI study of architects' responses to contemplative architecture,"Bermudez, J.; Krizaj, D.; Lipschitz, D.L.; Bueler, C.E.; et al.",2017,Frontiers of Architectural Research,10.1016/j.foar.2017.01.004,https://www.sciencedirect.com/science/article/pii/S2095263517300055,,fMRI + self-report (architects),contemplative architecture photographs,meditative state indicators; neural correlates,contemplative spaces; affect; fMRI; individual differences (expertise),,69.0,,False,69.0
Quantification of visual thermal perception changes in a wooden interior environment using physiological responses and immersive virtual environment,"Kim, S.; Yun, B.Y.; Choi, J.Y.; Kim, Y.U.; Kim, S.",2023,Building and Environment,10.1016/j.buildenv.2023.110447,https://www.sciencedirect.com/science/article/pii/S036013232300447X,,EEG + EDA/skin temp in immersive VR,wood application level in interior (visual material),thermal perception; physiological responses,materials; wood; perception; EEG; VR,,48.0,,False,48.0
Neural representations underlying psychological responses to natural and artificial features in indoor architecture,"Sztuka, I.M.; Becker, M.; Kühn, S.",2025,Journal of Environmental Psychology,10.1016/j.jenvp.2025.102? (check publisher page),https://www.sciencedirect.com/science/article/pii/S0272494425000362,,fMRI + ratings,natural vs artificial features in indoor architecture,psychological responses; neural representations,naturalness; materials; indoor; fMRI,,4.0,,False,4.0
Study on window size and indoor color of typical residential units based on EEG measurement and semantic differential method coupling analysis,"Zhang, Z.; Li, Z.; Xu, J.",2025,Energy and Buildings,10.1016/j.enbuild.2025.??? (check publisher page),https://www.sciencedirect.com/science/article/pii/S0378778825005857,,EEG + semantic differential ratings,window dimensions; indoor color,affective/semantic ratings; EEG correlates,windows; color; EEG; affect,,,,False,0.0
Enhancing lighting design through the investigation of illuminance and correlated color temperature's effects on brain activity: An EEG-VR approach,"Mostafavi, A.; Cruz-Garza, J.G.; Kalantari, S.",2023,Journal of Building Engineering,10.1016/j.jobe.2023.107142,https://www.sciencedirect.com/science/article/pii/S2352710223009555,,EEG + VR,illuminance; correlated color temperature,brain activity (EEG); potentially comfort/cognition proxies,lighting; CCT; illuminance; EEG; VR,,,,False,0.0
