filename,line_count,date_guess,status_heuristic,purpose_headline
02-15_27_Panel_EI_Memory_Encoding_V1_0.md,1049,"February 15, 2026 — Document 27",UNKNOWN,PANEL E-I: MEMORY ENCODING AND CONSOLIDATION
02-16_01_47_Panel_VIEW_I_Nature_View_V1_0.md,583,"February 16, 2026 — Document 47",UNKNOWN,"PANEL VIEW-I: VIEW, NATURE CONTACT, AND VISUAL ACCESS TO THE OUTDOORS"
02-16_01_Panel_VIEW_I_Nature_View_V1_0.md,620,"February 16, 2026 — Document 47",UNKNOWN,"PANEL VIEW-I: VIEW, NATURE CONTACT, AND VISUAL ACCESS TO THE OUTDOORS"
02-19_04_Transfer_Context_Session5.md,235,Date: 2026-02-19,UNKNOWN,"Transfer Context: Session 5 — Goldilocks, PE, Hedonic Tagging, Clark"
02-19_05_Implicit_vs_Explicit_PP_Working_Doc.md,824,February 2026,UNKNOWN,Implicit vs. Explicit Processing in Predictive Processing: A Gap in the Theory and Its Architectural Consequences
02-20_04_Transfer_Context_Doc.md,108,"February 20, 2026",UNKNOWN,"Transfer Context Document — February 20, 2026"
02-20_07_Transfer_Context_Doc.md,139,Last updated: 2026-02-20T13:30Z,UNKNOWN,Transfer Context Document
02-20_08_Beyond_Implicit_Processing_Topic_Page.md,198,Version 1.0 — 2026-02-20,UNKNOWN,Beyond Implicit Processing: How Activity Space Bridges the Explicit–Implicit Divide in the Goldilocks Framework
02-20_08_Transfer_Context_Doc.md,147,Last updated: 2026-02-20T14:00Z,UNKNOWN,Transfer Context Document
02-20_09_Transfer_Context_Doc.md,67,"Date: February 20, 2026 — Session 09",UNKNOWN,Transfer Context Document — V6 (44 slides)
02-20_10_Panel_Launch_Briefing_ImplicitExplicit.md,187,"February 20, 2026",UNKNOWN,Launch Briefing: Implicit–Explicit Processing (Type 1 / Type 2) — New T1 Theory Panel
02-22_AG_Session_Summary.md,45,2026,UNKNOWN,"AG Session Summary — Feb 22, 2026"
04-00_API_Contract_V1.0.md,76,"February 16, 2026",CURRENT,Theory Layer API Contract V1.0
28_Panel_MI_Auditory_Predictive_Processing_V1_0.md,523,"February 15, 2026 — Document 28",UNKNOWN,PANEL M-I: AUDITORY PREDICTIVE PROCESSING
29_Panel_MII_Rhythm_Groove_Motor_V1_0.md,426,"February 15, 2026 — Document 29",UNKNOWN,"PANEL M-II: RHYTHM, GROOVE, AND THE MOTOR SYSTEM"
30_Panel_MIII_Musical_Emotion_Mechanisms_V1_0.md,558,"February 15, 2026 — Document 30",UNKNOWN,PANEL M-III: MUSICAL EMOTION MECHANISMS
32_Opus_Transfer_Context_V3_0.md,223,"February 16, 2026 — Carry-Forward Document",UNKNOWN,OPUS TRANSFER CONTEXT — V3.0
33_Dual_Index_Cross_Reference_Layer_V1_0.md,869,"February 16, 2026 — Document 33",UNKNOWN,DUAL-INDEX CROSS-REFERENCE LAYER
33_Dual_Index_Cross_Reference_V2_0.md,958,"February 16, 2026 — Document 33 (V2.0 — updated with Docs 37–47 templates)",UNKNOWN,DUAL-INDEX CROSS-REFERENCE LAYER V2.0
34_Opus_Transfer_Context_V4_0.md,165,"February 16, 2026",UNKNOWN,OPUS TRANSFER CONTEXT V4.0
34_Panel_LI_Light_Luminance.md,1301,"February 16, 2026 — Document 34",UNKNOWN,PANEL L-I: LIGHT & LUMINANCE IN ARCHITECTURAL EXPERIENCE
34_Panel_LI_Light_Luminance_V1_1.md,1413,"February 16, 2026 — Document 34",UNKNOWN,PANEL L-I: LIGHT & LUMINANCE IN ARCHITECTURAL EXPERIENCE
35_AI_Task_Instructions_Parallel_Plan.md,599,"February 16, 2026 — Document 35",UNKNOWN,PARALLEL TASK INSTRUCTIONS FOR ENGINEERING AIs
35b_Panel_MAT_I_Materials.md,1394,"February 16, 2026 — Document 35b",UNKNOWN,"PANEL MAT-I: MATERIALS, SURFACES, AND HAPTIC-THERMAL EXPERIENCE"
36_AI_Session_Prompts_Queue_System.md,255,"February 16, 2026",UNKNOWN,AI SESSION PROMPTS — QUEUE-BASED SELF-DIRECTION
37_Panel_MAT_I_Materials.md,1394,"February 16, 2026 — Document 37",UNKNOWN,"PANEL MAT-I: MATERIALS, SURFACES, AND HAPTIC-THERMAL EXPERIENCE"
38_Panel_SC_I_Spatial_Config.md,1225,"February 16, 2026 — Document 38",UNKNOWN,"PANEL SC-I: SPATIAL CONFIGURATION, WAYFINDING, AND THE ARCHITECTURAL PROMENADE"
39_Panel_VF_I_Visual_Form.md,782,"February 16, 2026 — Document 39",UNKNOWN,"PANEL VF-I: VISUAL FORM, CONTOUR, AND ARCHITECTURAL PATTERN"
40_Panel_TP_I_Temporal_WIP.md,349,"February 16, 2026 — Document 40",UNKNOWN,"PANEL TP-I: TEMPORAL DYNAMICS, MOVEMENT, AND ARCHITECTURAL TIME"
41_Opus_Transfer_Context_V5_0.md,308,"February 16, 2026",UNKNOWN,OPUS TRANSFER CONTEXT V5.0
42_Panel_TP_I_Temporal.md,1174,"February 16, 2026 — Document 42",UNKNOWN,"PANEL TP-I: TEMPORAL DYNAMICS, MOVEMENT, AND ARCHITECTURAL TIME"
44_Panel_SOC_I_Social_Config.md,969,"February 16, 2026 — Document 44",UNKNOWN,PANEL SOC-I: SOCIAL CONFIGURATION AND THE ARCHITECTURE OF INTERPERSONAL SPACE
45_Panel_COL_I_Color.md,628,"February 16, 2026 — Document 45",UNKNOWN,PANEL COL-I: ARCHITECTURAL COLOR AND CHROMATIC PREDICTION
45_Panel_COL_I_Color_WIP.md,483,"February 16, 2026 — Document 45",UNKNOWN,PANEL COL-I: ARCHITECTURAL COLOR AND CHROMATIC PREDICTION
46_Panel_OLF_I_Olfaction.md,439,"February 16, 2026 — Document 46",UNKNOWN,PANEL OLF-I: ARCHITECTURAL OLFACTION AND CHEMOSENSORY PREDICTION
47_Panel_VIEW_I_Nature_View_WIP.md,374,"February 16, 2026 — Document 47",UNKNOWN,"PANEL VIEW-I: VIEW, NATURE CONTACT, AND VISUAL ACCESS TO THE OUTDOORS"
48_Opus_Transfer_Context_V6_0.md,236,"February 16, 2026",SUPERSEDED_OR_CAUTION,OPUS TRANSFER CONTEXT V6.0
49_Panel_LII_Light_Calibration_V1_0.md,534,"February 16, 2026 — Document 49",SUPERSEDED_OR_CAUTION,PANEL L-II: LIGHT CALIBRATION — PARAMETERIZING THE FIVE LIGHT TEMPLATES
51_Panel_MATII_Materials_Calibration_V1_0.md,710,"February 16, 2026 — Document 51",UNKNOWN,"PANEL MAT-II: MATERIALS CALIBRATION — PARAMETERIZING THERMAL, HAPTIC, AND MULTI-MODAL MATERIAL TEMPLATES"
51_Panel_MATII_Materials_Calibration_WIP.md,75,"February 16, 2026 — Document 51",UNKNOWN,"PANEL MAT-II: MATERIALS CALIBRATION — PARAMETERIZING THERMAL, HAPTIC, AND MULTI-MODAL MATERIAL TEMPLATES"
52_Calibration_Extension_Registry_V1_0.md,270,"February 16, 2026 — Document 52",SUPERSEDED_OR_CAUTION,CALIBRATION & EXTENSION REGISTRY
52_Calibration_Extension_Registry_V1_1.md,280,"February 16, 2026 — Document 52",SUPERSEDED_OR_CAUTION,CALIBRATION & EXTENSION REGISTRY
52_Calibration_Extension_Registry_V1_2.md,315,"February 16, 2026 — Document 52",SUPERSEDED_OR_CAUTION,CALIBRATION & EXTENSION REGISTRY
52_Calibration_Extension_Registry_V1_3.md,348,"February 16, 2026 — Document 52",SUPERSEDED_OR_CAUTION,CALIBRATION & EXTENSION REGISTRY
52_Calibration_Extension_Registry_V1_4.md,371,"February 16, 2026 — Document 52",SUPERSEDED_OR_CAUTION,CALIBRATION & EXTENSION REGISTRY
52_Calibration_Extension_Registry_V1_5.md,430,"February 16, 2026 — Document 52",SUPERSEDED_OR_CAUTION,CALIBRATION & EXTENSION REGISTRY
52_Calibration_Extension_Registry_V1_6.md,477,"February 16, 2026 — Document 52",SUPERSEDED_OR_CAUTION,CALIBRATION & EXTENSION REGISTRY
52_Calibration_Extension_Registry_V1_9.md,618,"February 16, 2026 — Document 52",SUPERSEDED_OR_CAUTION,CALIBRATION & EXTENSION REGISTRY
52_Calibration_Extension_Registry_V2_0.md,638,"February 16, 2026 — Document 52",SUPERSEDED_OR_CAUTION,CALIBRATION & EXTENSION REGISTRY
52_Calibration_Extension_Registry_V2_1.md,738,"February 16, 2026 — Document 52",SUPERSEDED_OR_CAUTION,CALIBRATION & EXTENSION REGISTRY
52_Registry_Addendum_V2_2.md,70,"February 17, 2026",UNKNOWN,CALIBRATION & EXTENSION REGISTRY — ADDENDUM V2.2
53_Opus_Transfer_Context_V8_0.md,192,"February 16, 2026",SUPERSEDED_OR_CAUTION,OPUS TRANSFER CONTEXT V8.0
53_Opus_Transfer_Context_V9_0.md,233,"February 17, 2026 — Document 53",SUPERSEDED_OR_CAUTION,ARTICLE EATER — TRANSFER CONTEXT V9.0
53_Opus_Transfer_Context_V9_1.md,235,"February 17, 2026 — Document 53",SUPERSEDED_OR_CAUTION,ARTICLE EATER — TRANSFER CONTEXT V9.1
54_A2_Spatial_Scale_Extension_V1_0.md,374,"February 16, 2026 — Document 54",UNKNOWN,A2 SPATIAL SCALE & DIMENSION: TARGETED EXTENSION
55_Panel_CREA_I_Creative_Cognition_V1_0.md,1097,"February 16, 2026 — Document 55",UNKNOWN,PANEL CREA-I: CREATIVE COGNITION AND THE BUILT ENVIRONMENT
56_Panel_TP_II_Temporal_Calibration_V1_0.md,618,"February 17, 2026 — Document 56",UNKNOWN,PANEL TP-II: TEMPORAL DYNAMICS CALIBRATION
57_Panel_SOC_II_Social_Calibration_V1_0.md,513,"February 17, 2026 — Document 57",UNKNOWN,PANEL SOC-II: SOCIAL CONFIGURATION CALIBRATION
58_Panel_CREA_II_Creative_Calibration_V1_0.md,446,"February 17, 2026 — Document 58",UNKNOWN,PANEL CREA-II: CREATIVE COGNITION CALIBRATION
59_Panel_VIEW_II_Nature_View_Calibration_V1_0.md,378,"February 17, 2026 — Document 59",UNKNOWN,PANEL VIEW-II: NATURE VIEW CALIBRATION
60_Panel_AGE_I_Aging_Architecture_V1_0.md,369,"February 17, 2026 — Document 60",UNKNOWN,PANEL AGE-I: AGING & ARCHITECTURE
61_Panel_DEV_I_Child_Development_V1_0.md,309,"February 17, 2026 — Document 61",UNKNOWN,PANEL DEV-I: CHILD DEVELOPMENT & ARCHITECTURE
62_Panel_SC_II_Spatial_Calibration_V1_0.md,384,"February 17, 2026 — Document 62",UNKNOWN,PANEL SC-II: SPATIAL CONFIGURATION CALIBRATION
63_Panel_COL_II_Color_Calibration_V1_0.md,274,"February 17, 2026 — Document 63",UNKNOWN,PANEL COL-II: COLOR CALIBRATION
64_Panel_VF_II_Visual_Form_Calibration_V1_0.md,480,"February 17, 2026 — Document 64",UNKNOWN,PANEL VF-II: VISUAL FORM CALIBRATION
65_Panel_CREA_III_Creative_Deepening_V1_0.md,545,"February 17, 2026 — Document 65",SUPERSEDED_OR_CAUTION,PANEL CREA-III: CREATIVE COGNITION DEEPENING
66_Comprehensive_Project_Audit_V1_0.md,591,"February 17, 2026",SUPERSEDED_OR_CAUTION,DOCUMENT 66: COMPREHENSIVE PROJECT AUDIT
67_Part2_PE_Contribution_Classification.md,121,"February 17, 2026",UNKNOWN,DOCUMENT 67 PART 2: PE CONTRIBUTION CLASSIFICATION
67_Sprint7_Encoding_Preparation_V1_0.md,499,"February 17, 2026",SUPERSEDED_OR_CAUTION,DOCUMENT 67: SPRINT 7 ENCODING PREPARATION
68_CMR_Implementation_Contract_V1_0.md,512,"February 17, 2026",SUPERSEDED_OR_CAUTION,DOCUMENT 68: CMR IMPLEMENTATION CONTRACT
69_Corpus_Methodology_Statement_V1_0.md,85,"February 17, 2026",UNKNOWN,DOCUMENT 69: CORPUS METHODOLOGY STATEMENT
ABSTRACT_EXTRACTION_CRITERIA_2026-02-11.md,122,2026-02-11,UNKNOWN,Abstract Extraction Criteria for CNfA Rule Generation
ACTIVE_SURFACE.md,2,,UNKNOWN,Active Surface Map (Runtime Entry Points)
ADMIN_POLICY.md,13,,UNKNOWN,Admin Policy (RBAC) — Article Eater
AG_PROMPT_CMR_Sprint_Planning.md,749,,SUPERSEDED_OR_CAUTION,ANTIGRAVITY OPUS 4.6 PROMPT
AI_HANDOFF_NEXT_STEPS_2026-02-20.md,94,2026-02-20),UNKNOWN,AI Handoff: Next Steps (2026-02-20)
AI_HANDOFF_PROMPT_FOR_GOVERNANCE_KIT.md,21,,UNKNOWN,AI handoff prompt for governance-kit-v3
AI_SIGNAL_PROTOCOL_MANDATE_2026-02-16.md,40,date: Adopt Claim/Update/Complete Protocol Now,UNKNOWN,Mandate: Adopt Claim/Update/Complete Protocol Now
ANTI_GRAVITY_INSTALLER.md,257,,UNKNOWN,Antigravity Installer (Single-File Desktop Install)
API_DESIGN_SPRINT_3.0.1.md,270,2026-02-09,UNKNOWN,API Design — Sprint 3.0.1
ARCH4_MIGRATION_STRATEGY.md,376,2026-02-13,UNKNOWN,ARCH-4 Migration Strategy: Credence/Entrenchment → Rank/Warrant
ARCH4_SPRINT_PLAN_2026-02-12.md,326,2026-02-12,UNKNOWN,ARCH-4 Sprint Plan: Formal Epistemic Calculus
ARCHITECTURE.md,249,Last updated: 2026-02-10 (Sprint ECB-3)*,UNKNOWN,Article Eater - Integrated Architecture
ARCHITECTURE_DIAGRAM.md,343,2026,UNKNOWN,Architecture Diagram
ARCHITECTURE_OVERVIEW.md,127,,UNKNOWN,Architecture Overview – Article Eater (v20.7.3)
ARCHIVED_FEATURES_EPISTEMIC_CAUSAL_BRIDGE_2026-02-10.md,379,2026-02-10,UNKNOWN,Archived Features: Epistemic-Causal Bridge
ARCHIVE_POLICY.md,2,,UNKNOWN,Archive and Legacy Files Policy
ARTICLE_EATER_GUI_STYLE_GUIDE.md,1944,2025,UNKNOWN,Article Eater GUI Style Guide v20.3.0
ARTICLE_SEMANTIC_EXTRACTION_AND_RULE_TYPES_RETHINK_2026-02-18.md,66,Date: 2026-02-18,UNKNOWN,Article Semantic Extraction and Rule Types Rethink
ARTICLE_TABLE_BUILD_KICKOFF_2026-02-13.md,45,2026-02-13),UNKNOWN,Article Table Build Kickoff (2026-02-13)
ARTICLE_TYPE_QUESTION_FIELD_CONTRACT_2026-02-18.md,111,Date: 2026-02-18,UNKNOWN,Article Type Question-Field Contract (Sprint D Precision Extension)
ARTICLE_TYPE_TABLE_STANDARDS_UNIFIED_2026-02-14.md,257,Date: 2026-02-14,UNKNOWN,Article Types and Table Standards (Unified)
AUTHORIZATION_MATRIX_v1.md,169,,UNKNOWN,Authorization Matrix v1 – Article Eater
Adding_T1_5_Theories_Operationalization.md,82,"Version 1.0 — February 20, 2026**",UNKNOWN,Operationalizing Tier 1.5 Theories in Article Eater
Article_Eater_System_Review_Prompt_V1.0.md,389,"Version 1.0 — February 14, 2026",UNKNOWN,ARTICLE EATER: COMPREHENSIVE SYSTEM REVIEW PROMPT
BACKLOG_COMPLETION_REPORT.md,98,Date: 2026-02-19,UNKNOWN,Backlog Completion Report
BBN_CALIBRATOR.md,12,,UNKNOWN,BBN Calibrator (v20.6.2)
BN_Design_with_Subjects.md,57,,UNKNOWN,BN Design with Subject-Aware RuleGraph v2
BN_EXPORT_SCHEMA_v0_1.md,269,,UNKNOWN,
BN_Handoff_Schema_v18_2_0.md,1,,UNKNOWN,"BN handoff uses schemas/bn_package.schema.json (rules, nodes, edges, priors)."
BN_Outcome_Templates_v0_1.md,95,,UNKNOWN,Article Eater v20.7.13 — BN Outcome Template Suggestions (v0.1)
CANDIDATE_ARTICLE_TABLE_VERIFICATION_2026_01_23.md,265,date Article Table → Rule System Data Flow Verification,UNKNOWN,Candidate Article Table → Rule System Data Flow Verification
CC_PROMPT_CMR_EXPLANATION.md,371,"Last updated: February 22, 2026",CURRENT,CC TASK PROMPT: BUILD CMR ARCHITECTURE EXPLANATION
CHAT_TASK_LIST_2026-02-12.md,539,2026-02-12,UNKNOWN,ChatGPT Task List: Evidence Processing Pipeline
CLAIM_FIELD_EVIDENCE_CONTRACT_v1.md,102,,UNKNOWN,Claim Field Evidence Contract v1
CLAUDE_V2.md,176,"Version 2.0 — February 14, 2026",UNKNOWN,CLAUDE.md — Article Eater Epistemic Tier 2 Implementation Context
CMR_ARCHITECTURE_EXPLANATION.md,777,"February 22, 2026",UNKNOWN,CMR ARCHITECTURE EXPLANATION
CNFA_KEY_REFERENCES_2026_01_23.md,225,2026,UNKNOWN,CNfA Theory Key References - PDFs to Acquire
CODEBASE_MAP.md,162,"February 14, 2026",UNKNOWN,CODEBASE_MAP.md — Epistemic Tier 2 Discovery
CODEX_BACKLOG_PROMPT.md,182,"February 18, 2026",UNKNOWN,CODEX BACKLOG COMPLETION PROMPT
CODEX_CONTINUATION_HANDOFF_2026-02-12.md,110,2026-02-12,UNKNOWN,CODEX CONTINUATION HANDOFF
CODEX_EVALUATION_PROMPT_2026-02-12.md,218,2026-02-12,UNKNOWN,Codex Comprehensive System Evaluation
CODEX_EVALUATION_REPORT_2026-02-12.md,122,2026-02-12,UNKNOWN,Codex System Evaluation Report
CODEX_FINISHED_CROSS_REPO_VOCAB_CONTRACT_2026-02-15.md,38,Date: 2026-02-15,UNKNOWN,Codex Finished: Cross-Repo Vocabulary Contract
CODEX_FINISHED_MIGRATION_ADAPTERS_SPRINT_0_7.md,28,,UNKNOWN,Codex Finished: Migration Adapter Scripts (Sprint 0.7)
CODEX_HANDOFF_EPISTEMIC_CALCULUS_2026-02-12.md,217,2026-02-12,SUPERSEDED_OR_CAUTION,Codex Handoff: Epistemic Calculus & Do-Calculus Coordination
CODEX_HANDOFF_TABLE_SYSTEM_2026-02-13.md,79,2026-02-13),UNKNOWN,Codex Handoff: Table System State (2026-02-13)
CODEX_MODEL_SWITCH_PLAYBOOK.md,161,Date: 2026-02-18,UNKNOWN,Codex Model Switch Playbook
CODEX_REPORT_FOR_CLAUDE_MIGRATION_ARTIFACTS_2026-02-15.md,61,Date: 2026-02-15,UNKNOWN,Codex Report For Claude: Migration Adapters + Worktree Risks
CODEX_TASK0_HANDOFF_2026-02-12.md,180,2026-02-12,UNKNOWN,CODEX TASK-0 HANDOFF
CODEX_TASK_LIST_2026-02-12.md,340,2026-02-12,UNKNOWN,Codex Task List
COMPACT_VIEW_GUIDE.md,450,2025,UNKNOWN,Compact View Implementation Guide
COMPACT_VIEW_SUMMARY.md,398,2025,UNKNOWN,Compact View Feature - Implementation Summary
CONFIGURATION_GUIDE.md,117,,UNKNOWN,Configuration Guide – Article Eater
CONVERSATION_PRACTICES.md,4,,UNKNOWN,Conversation and ledger practices
CORPUS_QUALITY_REPORT_AntiGravity_report_on_PDF_tables.md,51,2026-02-16,UNKNOWN,Corpus Quality Assessment Report
DB_MIGRATIONS.md,55,,UNKNOWN,Article Eater Database Schema and Migrations
DECISIONS.md,511,"Last updated: February 17, 2026*",SUPERSEDED_OR_CAUTION,CMR Implementation Decisions Log
DECISIONS_INTEGRATION_SPRINTS_2026-02-11.md,231,Date Started**: 2026-02-11,CURRENT,Integration Sprint Decisions Log
DECISIONS_INT_3_6_PANEL_REVIEW_2026-02-11.md,420,2026-02-11,UNKNOWN,Integration Sprint Decisions (INT-1 through INT-6)
DECISIONS_MVP_GUI_WIRING_2026-02-11.md,71,2026-02-11,UNKNOWN,Implementation Decisions: MVP-GUI Backend Wiring
DEMO_SCRIPT.md,169,2026-02-11,UNKNOWN,MVP Demo Script
DESIGN_PRINCIPLES.md,6,version control is in place.,UNKNOWN,Design principles
DESIGN_RATIONALE.md,383,2026,UNKNOWN,Design Rationale: Theory of the System
DONE.md,81,2026-02-17T18:38,UNKNOWN,TASK COMPLETION LOG
Direction_Adjudication_Protocol.md,52,,UNKNOWN,Direction Adjudication Protocol (HITL + LLM + RAG)
Doc70_PDF_Data_Diagnosis_and_Remediation.md,480,"February 17, 2026",CURRENT,PDF DATA PIPELINE: FULL DIAGNOSIS AND REMEDIATION ARCHITECTURE
Doc71_SprintD_Diagnostics_and_Precision_Fix.md,771,"February 18, 2026",UNKNOWN,SPRINT D PROGRESS CHECK + MAPPING PRECISION ANALYSIS
EMPIRICAL_V2_EXTRACTION_PROMPT.md,221,,UNKNOWN,Empirical_v2 Extraction Prompt (Abstract + Full PDF)
EMPIRICAL_V2_TRAINING_SET_RUNBOOK.md,76,,UNKNOWN,Empirical_v2 Sentence-Field Training Set Runbook
EPISTEMIC_CALCULUS_SPEC_2026-02-12.md,235,2026-02-12,UNKNOWN,Epistemic Calculus Specification
EXPERT_PANEL_IMAGE_COLLECTOR_GUI_REVIEW_2026_01_28.md,376,2026,UNKNOWN,Expert Panel Review: Image Collector & Inspector GUIs
EXTRACTION_TEMPLATE_CASE_STUDY_2026_02_09.md,504,"February 9, 2026",UNKNOWN,CASE STUDY EXTRACTION TEMPLATE v1.0
EXTRACTION_TEMPLATE_CONCEPTUAL_FRAMEWORK_2026_02_04.md,907,"February 4, 2026",SUPERSEDED_OR_CAUTION,CONCEPTUAL FRAMEWORK EXTRACTION TEMPLATE v1.0
EXTRACTION_TEMPLATE_EMPIRICAL_v2_2026_02_03.md,1301,"February 3, 2026",UNKNOWN,EMPIRICAL ARTICLE EXTRACTION TEMPLATE v2.0
EXTRACTION_TEMPLATE_ETHNOGRAPHIC_2026_02_09.md,562,"February 9, 2026",UNKNOWN,ETHNOGRAPHIC STUDY EXTRACTION TEMPLATE v1.0
EXTRACTION_TEMPLATE_GROUNDED_THEORY_2026_02_09.md,638,"February 9, 2026",UNKNOWN,GROUNDED THEORY STUDY EXTRACTION TEMPLATE v1.0
EXTRACTION_TEMPLATE_INTERVIEW_STUDY_2026_02_09.md,628,"February 9, 2026",UNKNOWN,INTERVIEW STUDY EXTRACTION TEMPLATE v1.0
EXTRACTION_TEMPLATE_META_ANALYSIS_2026_02_03.md,1172,"February 3, 2026",SUPERSEDED_OR_CAUTION,META-ANALYSIS EXTRACTION TEMPLATE v1.0
EXTRACTION_TEMPLATE_MIXED_METHODS_2026_02_09.md,521,"February 9, 2026",UNKNOWN,MIXED METHODS EXTRACTION TEMPLATE v1.0
EXTRACTION_TEMPLATE_NARRATIVE_REVIEW_2026_02_03.md,1089,"February 3, 2026",SUPERSEDED_OR_CAUTION,NARRATIVE REVIEW EXTRACTION TEMPLATE v1.0
EXTRACTION_TEMPLATE_NARRATIVE_REVIEW_2026_02_09.md,569,"February 9, 2026",UNKNOWN,NARRATIVE REVIEW EXTRACTION TEMPLATE v1.0
