title,authors,year,venue,doi,landing_url,pdf_url,method,manipulated_feature,outcomes,topic_tags
Study on window size and indoor color of typical residential units based on EEG measurement and semantic differential method coupling analysis,"Zhang, Z.; Li, Z.; Xu, J.",2025,Energy and Buildings,10.1016/j.enbuild.2025.??? (check publisher page),https://www.sciencedirect.com/science/article/pii/S0378778825005857,,EEG + semantic differential ratings,window dimensions; indoor color,affective/semantic ratings; EEG correlates,windows; color; EEG; affect
Color matters: investigating stress recovery in VR-simulated interior environments using fNIRS and anxiety measures,"Dehan, J.; Wenan, L.; Xingkai, W.; Guobin, X.",2025,Building and Environment,10.1016/j.buildenv.2025.110819,https://www.sciencedirect.com/science/article/pii/S0360132325010819,https://livrepository.liverpool.ac.uk/3194227/1/1-s2.0-S0360132325010819-main.pdf,fNIRS + VR + self-report,wall color (stress recovery context),stress/anxiety measures; fNIRS signals,color; stress; fNIRS; VR
Cognitive efficiency in VR simulated natural indoor environments examined through EEG and affective responses,"Kim, S.",2025,Scientific Reports,10.1038/s41598-025-18629-z,https://www.nature.com/articles/s41598-025-18629-z,https://www.nature.com/articles/s41598-025-18629-z.pdf,EEG + VR + affective ratings,"natural indoor environment features (biophilic/naturalness, incl. materials/plants cues)",cognitive efficiency; affective responses; EEG,biophilic; naturalness; cognition; affect; EEG; VR
Enhancing cognitive performance and physiological benefit in workspaces through patterns of biophilic design: a restorative approach,"Zhang, P.; Yu, Z.; Hou, G.; Shu, P.; Bo, Y.; Shi, Y.; Nie, R.",2024,Buildings,10.3390/buildings14103293,https://www.mdpi.com/2075-5309/14/10/3293,https://www.mdpi.com/2075-5309/14/10/3293/pdf,cognitive task + fNIRS + subjective scales,biophilic design patterns (incl. natural materials/wood patterns),cognitive performance; physiological responses,biophilic; materials; cognition; fNIRS
Quantification of visual thermal perception changes in a wooden interior environment using physiological responses and immersive virtual environment,"Kim, S.; Yun, B.Y.; Choi, J.Y.; Kim, Y.U.; Kim, S.",2023,Building and Environment,10.1016/j.buildenv.2023.110447,https://www.sciencedirect.com/science/article/pii/S036013232300447X,,EEG + EDA/skin temp in immersive VR,wood application level in interior (visual material),thermal perception; physiological responses,materials; wood; perception; EEG; VR
Physiological effects of visual stimulation with full-scale wall images composed of vertically and horizontally arranged wooden elements,"Nakamura, M.; Ikei, H.; Miyazaki, Y.",2019,Journal of Wood Science,10.1186/s10086-019-1834-0,https://link.springer.com/article/10.1186/s10086-019-1834-0,https://link.springer.com/content/pdf/10.1186/s10086-019-1834-0.pdf,physiology + NIRS/EEG (per paper); visual stimulation,wooden wall patterns (vertical vs horizontal elements),physiological responses; potentially affect/relaxation,materials; wood; visual pattern; physiology
When Sound Helps or Hurts: Behavioral and EEG Evidence on the Dual Effects of Indoor Acoustic Environments on Office Work Performance,"Chong, D.; Zhu, W.; Liu, T.; Hou, H.; Zhang, Y.; Su, Y.",2025,Buildings,10.3390/buildings16010069,https://www.mdpi.com/2075-5309/16/1/69,https://www.mdpi.com/2075-5309/16/1/69/pdf,EEG + office task performance,acoustic intensity; sound type in office,work performance; EEG measures,acoustics; noise; cognition; EEG; office
Spatial perception of ceiling height and type variation in immersive virtual environments,"Cha, S.H.; Koo, C.; Kim, T.W.; Hong, T.",2019,Building and Environment,10.1016/j.buildenv.2019.106352,https://www.sciencedirect.com/science/article/pii/S0360132319304950,,VR + surveys (affective/spatial perception),ceiling height; ceiling type variations,spatial perception; affective response,ceiling height; VR; perception; affect
Electroencephalogram-based analysis of attention in void and solid architectural spaces,"Choi, T.H.; Ji, S.Y.; Jun, H.J.",2025,Journal of Asian Architecture and Building Engineering,10.1080/13467581.2025.2557018,https://www.tandfonline.com/doi/abs/10.1080/13467581.2025.2557018,https://www.tandfonline.com/doi/pdf/10.1080/13467581.2025.2557018,EEG,void vs solid architectural spaces,attention (EEG-based),spatial configuration; attention; EEG
Neurophysiological and Psychological Effects of Color and Ceiling Height in Learning Spaces: An EEG Study in Virtual Reality,"Kim, S.; Kim, N.",2025,SSRN preprint,SSRN:5162685,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5162685,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5162685,EEG + VR + self-report,color; ceiling height in learning spaces,neurophysiology; psychological measures,color; ceiling height; learning; EEG; VR
Neural representations underlying psychological responses to natural and artificial features in indoor architecture,"Sztuka, I.M.; Becker, M.; Kühn, S.",2025,Journal of Environmental Psychology,10.1016/j.jenvp.2025.102? (check publisher page),https://www.sciencedirect.com/science/article/pii/S0272494425000362,,fMRI + ratings,natural vs artificial features in indoor architecture,psychological responses; neural representations,naturalness; materials; indoor; fMRI
Externally-induced meditative states: an exploratory fMRI study of architects' responses to contemplative architecture,"Bermudez, J.; Krizaj, D.; Lipschitz, D.L.; Bueler, C.E.; et al.",2017,Frontiers of Architectural Research,10.1016/j.foar.2017.01.004,https://www.sciencedirect.com/science/article/pii/S2095263517300055,,fMRI + self-report (architects),contemplative architecture photographs,meditative state indicators; neural correlates,contemplative spaces; affect; fMRI; individual differences (expertise)
Neural correlates of nature stimuli: an fMRI study,"Pati, D.; O'Boyle, M.; Amor, C.; Hou, J.; et al.",2014,Health Environments Research & Design Journal (HERD),10.1177/193758671400700202,https://journals.sagepub.com/doi/abs/10.1177/193758671400700202,https://www.researchgate.net/profile/Michael-Oboyle-2/publication/260271711_Neural_Correlates_of_Nature_Stimuli_An_fMRI_Study/links/5609a51708ae840a08d3c312/Neural-Correlates-of-Nature-Stimuli-An-fMRI-Study.pdf,fMRI,"nature stimuli in built settings (e.g., ceiling images)",neural correlates of nature exposure; affect/stress proxies,nature imagery; biophilia; affect; fMRI
