variable_name,categories,repos,repo_count,source_count,example_sources
age_range,extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical;Outcome_Contractor,3,7,Article_Eater_PostQuinean_v1/schemas/panel_subjects.schema.json:143; Article_Eater_PostQuinean_v1/schemas/rule_graph.schema.json:193; Article_Eater_PostQuinean_v1/src/services/table_extractor.py:305; BN_graphical/src/ai_extraction/population_extractor.py:133
ci_lower,extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical;Outcome_Contractor,3,24,Article_Eater_PostQuinean_v1/prompts/seven_panel_schema.json:17; Article_Eater_PostQuinean_v1/schemas/panel_findings_v2.schema.json:45; Article_Eater_PostQuinean_v1/scripts/build_table_gold_pack.py:192; Article_Eater_PostQuinean_v1/src/services/table_extractor.py:225
ci_upper,extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical;Outcome_Contractor,3,23,Article_Eater_PostQuinean_v1/prompts/seven_panel_schema.json:18; Article_Eater_PostQuinean_v1/schemas/panel_findings_v2.schema.json:51; Article_Eater_PostQuinean_v1/scripts/build_table_gold_pack.py:193; Article_Eater_PostQuinean_v1/src/services/table_extractor.py:226
claim_type,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;Outcome_Contractor,3,12,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v1.schema.json:31; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v2.schema.json:32; Article_Eater_PostQuinean_v1/ruthless_bundle_2026-02-08/src/services/extraction_to_web.py:1528; Article_Eater_PostQuinean_v1/scripts/build_table_gold_pack.py:182
cluster_id,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;Outcome_Contractor,3,7,Article_Eater_PostQuinean_v1/db/sql/015_complete_schema.sql:181; Article_Eater_PostQuinean_v1/db/sql/015_complete_schema.sql:190; Article_Eater_PostQuinean_v1/db/sql/015_complete_schema.sql:93; Article_Eater_PostQuinean_v1/schemas/rule_graph.schema.json:281
confidence_interval,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical;Outcome_Contractor,3,11,Article_Eater_PostQuinean_v1/contracts/schemas/experiential_claim.v1.schema.json:136; Article_Eater_PostQuinean_v1/contracts/schemas/provenance.v1.schema.json:135; Article_Eater_PostQuinean_v1/db/sql/015_complete_schema.sql:67; Article_Eater_PostQuinean_v1/src/epistemic/contracts/claim_v2.py:126
effect_direction,extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical;Outcome_Contractor,3,5,Article_Eater_PostQuinean_v1/schemas/rule_graph.schema.json:305; Article_Eater_PostQuinean_v1/scripts/build_abstract_reduced_tables.py:512; Article_Eater_PostQuinean_v1/scripts/run_realtime_table_rule_intake.py:812; BN_graphical/src/ai_extraction/field_thresholds.py:90
environment_factors,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;Outcome_Contractor,3,7,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v1.schema.json:56; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v2.schema.json:60; Article_Eater_PostQuinean_v1/ruthless_bundle_2026-02-08/src/services/extraction_to_web.py:1531; Article_Eater_PostQuinean_v1/src/services/extraction_to_web.py:1656
evidence_strength,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical;Outcome_Contractor,3,5,Article_Eater_PostQuinean_v1/db/sql/015_complete_schema.sql:112; Article_Eater_PostQuinean_v1/db/sql/015_complete_schema.sql:149; BN_graphical/src/schemas/mechanism_specification.py:341; Outcome_Contractor/article_finder/type_specific_extractor.py:582
extraction_confidence,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical,3,9,Article_Eater_PostQuinean_v1/contracts/schemas/provenance.v1.schema.json:81; Article_Eater_PostQuinean_v1/db/sql/018_paper_lifecycle.sql:153; Article_Eater_PostQuinean_v1/ruthless_bundle_2026-02-08/src/services/scope_extractor.py:272; Article_Eater_PostQuinean_v1/src/epistemic/extraction/synthesis_ingester.py:345
extraction_method,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical,3,6,Article_Eater_PostQuinean_v1/contracts/schemas/provenance.v1.schema.json:86; Article_Eater_PostQuinean_v1/src/services/table_extractor.py:81; Article_Finder_v3_2_3/core/database.py:295; Article_Finder_v3_2_3/ingest/pdf_cataloger.py:186
generated_at,extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical;Outcome_Contractor,3,21,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.extended_outcome_lookup.v1.schema.json:17; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.gap_report.v1.schema.json:24; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/claim_gallery.v1.schema.json:20; Article_Eater_PostQuinean_v1/contracts/outcome_vocab/outcome_lookup.json:4
item_id,extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical,3,7,Article_Eater_PostQuinean_v1/app/cli/article_eater_contract_cli.py:86; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.review_item.v1.schema.json:27; Article_Finder_v3_2_3/schemas/ae.review_item.v1.schema.json:27; BN_graphical/src/ai_extraction/verification_queue.py:109
meta_analysis,enum_value;extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical;Outcome_Contractor,3,20,Article_Eater_PostQuinean_v1/ruthless_bundle_2026-02-08/src/services/incremental_bn.py:55; Article_Eater_PostQuinean_v1/ruthless_bundle_2026-02-08/src/services/scope_extractor.py:469; Article_Eater_PostQuinean_v1/src/epistemic/extraction/argumentative.py:75; Article_Eater_PostQuinean_v1/src/epistemic/extraction/paper_classifier.py:37
node_id,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;Outcome_Contractor,3,843,Article_Eater_PostQuinean_v1/src/epistemic/contracts/claim_v2.py:110; Article_Finder_v3_2_3/core/database.py:116; Article_Finder_v3_2_3/core/database.py:127; Article_Finder_v3_2_3/core/database.py:99
page_number,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;Outcome_Contractor,3,13,Article_Eater_PostQuinean_v1/db/sql/015_core_tables.sql:100; Article_Eater_PostQuinean_v1/init_database.py:113; Article_Eater_PostQuinean_v1/init_database.py:87; Article_Eater_PostQuinean_v1/src/services/table_extractor.py:74
parent_id,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;Outcome_Contractor,3,2531,Article_Eater_PostQuinean_v1/contracts/outcome_vocab/outcome_vocab.json:108; Article_Eater_PostQuinean_v1/contracts/outcome_vocab/outcome_vocab.json:122; Article_Eater_PostQuinean_v1/contracts/outcome_vocab/outcome_vocab.json:132; Article_Eater_PostQuinean_v1/contracts/outcome_vocab/outcome_vocab.json:146
pdf_path,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;Outcome_Contractor,3,16,Article_Eater_PostQuinean_v1/migrations/006_discovery_funnel.sql:134; Article_Eater_PostQuinean_v1/scripts/build_table_extraction_queue.py:360; Article_Eater_PostQuinean_v1/scripts/build_table_gold_pack.py:151; Article_Eater_PostQuinean_v1/scripts/build_table_gold_pack.py:206
retrieved_at,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;Outcome_Contractor,3,7,Article_Eater_PostQuinean_v1/contracts/ae_af/examples/input_bundle_minimal/paper.json:20; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.paper.v1.schema.json:111; Article_Eater_PostQuinean_v1/docs/MVP_CONTRACTS.md:68; Article_Eater_PostQuinean_v1/src/services/bibtex_ingestion.py:343
run_id,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;Tagging_Contractor,3,19,Article_Eater_PostQuinean_v1/app/cli/article_eater_contract_cli.py:121; Article_Eater_PostQuinean_v1/app/cli/article_eater_contract_cli.py:73; Article_Eater_PostQuinean_v1/app/cli/article_eater_contract_cli.py:85; Article_Eater_PostQuinean_v1/app/cli/article_eater_contract_cli.py:98
sample_n,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical,3,12,Article_Eater_PostQuinean_v1/scripts/build_abstract_reduced_tables.py:513; Article_Eater_PostQuinean_v1/scripts/run_realtime_table_rule_intake.py:813; Article_Finder_v3_2_3/core/database.py:203; BN_graphical/migrations/005_sprint1_schemas.sql:45
sample_size,database_column;enum_value;extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical;Outcome_Contractor,3,28,Article_Eater_PostQuinean_v1/contracts/schemas/experiential_claim.v1.schema.json:145; Article_Eater_PostQuinean_v1/contracts/schemas/provenance.v1.schema.json:126; Article_Eater_PostQuinean_v1/db/sql/015_complete_schema.sql:66; Article_Eater_PostQuinean_v1/db/sql/015_core_tables.sql:65
schema_version,extraction_output_field,Article_Eater_PostQuinean_v1;Outcome_Contractor;Tagging_Contractor,3,8,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/claim_gallery.v1.schema.json:18; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/gallery_selection_config.v1.schema.json:20; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/image_feedback.v1.schema.json:20; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/selection_log.v1.schema.json:16
search_terms,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Outcome_Contractor;Tagging_Contractor,3,851,Article_Eater_PostQuinean_v1/migrations/006_discovery_funnel.sql:40; Outcome_Contractor/article_finder/type_specific_extractor.py:514; Tagging_Contractor/Archive 2/core/trs-core/v0.2.8/contracts/article_eater_contract_v0.2.8.json:1010; Tagging_Contractor/Archive 2/core/trs-core/v0.2.8/contracts/article_eater_contract_v0.2.8.json:1024
source_type,extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical;Tagging_Contractor,3,5,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.gap_report.v1.schema.json:193; Article_Eater_PostQuinean_v1/contracts/schemas/provenance.v1.schema.json:101; Article_Eater_PostQuinean_v1/docs/MVP_CONTRACTS.md:297; BN_graphical/contracts/bn.prediction.v1.schema.json:38
table_id,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;Outcome_Contractor,3,8,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v1.schema.json:331; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v2.schema.json:395; Article_Eater_PostQuinean_v1/scripts/build_table_gold_pack.py:179; Article_Eater_PostQuinean_v1/src/services/table_extractor.py:73
target_id,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Outcome_Contractor;Tagging_Contractor,3,6,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.web_state.v1.schema.json:153; Outcome_Contractor/core/database.py:131; Tagging_Contractor/Archive 2/backend/app/db/database.py:176; Tagging_Contractor/Archive 2/backend/app/db/schema.sql:70
theory_id,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical;Outcome_Contractor,3,12,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.query_response.v1.schema.json:210; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.web_state.v1.schema.json:106; Article_Eater_PostQuinean_v1/db/sql/017_theories.sql:109; Article_Eater_PostQuinean_v1/db/sql/017_theories.sql:233
DEFEATED,enum_value,Article_Eater_PostQuinean_v1;BN_graphical,2,3,Article_Eater_PostQuinean_v1/src/models/epistemic_status.py:31; Article_Eater_PostQuinean_v1/src/services/warrant_service.py:49; BN_graphical/src/coherence/epistemic_adapter.py:37
EMPIRICAL,enum_value,Article_Eater_PostQuinean_v1;BN_graphical,2,2,Article_Eater_PostQuinean_v1/app/routes/api_unified.py:93; BN_graphical/src/coherence/epistemic_adapter.py:29
EdgeJustification,extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical,2,2,Article_Eater_PostQuinean_v1/contracts/schemas/integration.edge_justification.v1.schema.json:112; BN_graphical/contracts/ae_bn_bridge.v1.schema.json:157
INTERMEDIATE,enum_value,Article_Eater_PostQuinean_v1;BN_graphical,2,2,Article_Eater_PostQuinean_v1/app/routes/api_unified.py:92; BN_graphical/src/coherence/epistemic_adapter.py:30
OBSERVATIONAL,enum_value,Article_Eater_PostQuinean_v1;BN_graphical,2,3,Article_Eater_PostQuinean_v1/app/routes/api_unified.py:94; Article_Eater_PostQuinean_v1/src/models/provenance.py:36; BN_graphical/src/coherence/epistemic_adapter.py:28
Predictive_Processing,extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical,2,7,Article_Eater_PostQuinean_v1/ruthless_bundle_2026-02-08/src/services/extraction_to_web.py:184; Article_Eater_PostQuinean_v1/src/services/extraction_to_web.py:197; Article_Eater_PostQuinean_v1/src/services/pdf_extraction.py:167; BN_graphical/src/ai_extraction/mechanism_classifier.py:137
SUSPENDED,enum_value,Article_Eater_PostQuinean_v1;BN_graphical,2,3,Article_Eater_PostQuinean_v1/src/models/epistemic_status.py:32; Article_Eater_PostQuinean_v1/src/services/warrant_service.py:50; BN_graphical/src/coherence/epistemic_adapter.py:38
THEORETICAL,enum_value,Article_Eater_PostQuinean_v1;BN_graphical,2,4,Article_Eater_PostQuinean_v1/app/routes/api_unified.py:91; Article_Eater_PostQuinean_v1/src/models/provenance.py:38; Article_Eater_PostQuinean_v1/src/models/provenance.py:47; BN_graphical/src/coherence/epistemic_adapter.py:31
UNGROUNDED,enum_value,Article_Eater_PostQuinean_v1;BN_graphical,2,4,Article_Eater_PostQuinean_v1/src/models/epistemic_status.py:33; Article_Eater_PostQuinean_v1/src/services/grounding_service.py:51; Article_Eater_PostQuinean_v1/src/services/warrant_service.py:51; BN_graphical/src/coherence/epistemic_adapter.py:39
WARRANTED,enum_value,Article_Eater_PostQuinean_v1;BN_graphical,2,3,Article_Eater_PostQuinean_v1/src/models/epistemic_status.py:30; Article_Eater_PostQuinean_v1/src/services/warrant_service.py:48; BN_graphical/src/coherence/epistemic_adapter.py:36
affect.anxiety,extraction_output_field,Article_Eater_PostQuinean_v1;Outcome_Contractor,2,6,Article_Eater_PostQuinean_v1/contracts/outcome_vocab/outcome_lookup.json:62; Article_Eater_PostQuinean_v1/contracts/vocab/outcome_lookup.json:62; Article_Eater_PostQuinean_v1/ruthless_bundle_2026-02-08/src/services/extraction_to_web.py:163; Article_Eater_PostQuinean_v1/src/services/extraction_to_web.py:176
affect.mood,extraction_output_field,Article_Eater_PostQuinean_v1;Outcome_Contractor,2,7,Article_Eater_PostQuinean_v1/contracts/outcome_vocab/outcome_lookup.json:67; Article_Eater_PostQuinean_v1/contracts/vocab/outcome_lookup.json:67; Article_Eater_PostQuinean_v1/ruthless_bundle_2026-02-08/src/services/extraction_to_web.py:162; Article_Eater_PostQuinean_v1/src/services/extraction_to_web.py:175
affect.mood.negative,extraction_output_field,Article_Eater_PostQuinean_v1;Outcome_Contractor,2,4,Article_Eater_PostQuinean_v1/contracts/outcome_vocab/outcome_lookup.json:72; Article_Eater_PostQuinean_v1/contracts/vocab/outcome_lookup.json:72; Outcome_Contractor/contracts/oc_export/ae_outcome_lookup.json:2392; Outcome_Contractor/contracts/oc_export/constitutive_bridges.json:17960
affect.mood.positive,extraction_output_field,Article_Eater_PostQuinean_v1;Outcome_Contractor,2,4,Article_Eater_PostQuinean_v1/contracts/outcome_vocab/outcome_lookup.json:77; Article_Eater_PostQuinean_v1/contracts/vocab/outcome_lookup.json:77; Outcome_Contractor/contracts/oc_export/ae_outcome_lookup.json:2422; Outcome_Contractor/contracts/oc_export/constitutive_bridges.json:18012
affect.stress,extraction_output_field,Article_Eater_PostQuinean_v1;Outcome_Contractor,2,7,Article_Eater_PostQuinean_v1/contracts/outcome_vocab/outcome_lookup.json:82; Article_Eater_PostQuinean_v1/contracts/vocab/outcome_lookup.json:82; Article_Eater_PostQuinean_v1/ruthless_bundle_2026-02-08/src/services/extraction_to_web.py:161; Article_Eater_PostQuinean_v1/src/services/extraction_to_web.py:174
allowed_storage,extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3,2,3,Article_Eater_PostQuinean_v1/contracts/ae_af/examples/input_bundle_minimal/paper.json:36; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.paper.v1.schema.json:180; Article_Finder_v3_2_3/schemas/ae.paper.v1.schema.json:165
applied_at,database_column,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3,2,4,Article_Eater_PostQuinean_v1/db/sql/015_complete_schema.sql:226; Article_Eater_PostQuinean_v1/db/sql/017_theories.sql:321; Article_Eater_PostQuinean_v1/migrations/006_discovery_funnel.sql:302; Article_Finder_v3_2_3/core/database.py:322
audit_log_jsonl,extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3,2,4,Article_Eater_PostQuinean_v1/app/cli/article_eater_contract_cli.py:113; Article_Eater_PostQuinean_v1/contracts/ae_af/examples/output_bundle_sample/result.json:20; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.result.v1.schema.json:111; Article_Finder_v3_2_3/schemas/ae.result.v1.schema.json:111
behav.productivity,extraction_output_field,Article_Eater_PostQuinean_v1;Outcome_Contractor,2,7,Article_Eater_PostQuinean_v1/contracts/outcome_vocab/outcome_lookup.json:92; Article_Eater_PostQuinean_v1/contracts/vocab/outcome_lookup.json:92; Article_Eater_PostQuinean_v1/ruthless_bundle_2026-02-08/src/services/extraction_to_web.py:170; Article_Eater_PostQuinean_v1/src/services/extraction_to_web.py:183
behav.sleep,extraction_output_field,Article_Eater_PostQuinean_v1;Outcome_Contractor,2,4,Article_Eater_PostQuinean_v1/contracts/outcome_vocab/outcome_lookup.json:97; Article_Eater_PostQuinean_v1/contracts/vocab/outcome_lookup.json:97; Outcome_Contractor/contracts/oc_export/ae_outcome_lookup.json:2982; Outcome_Contractor/contracts/oc_export/constitutive_bridges.json:18931
belief_id,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical,2,34,Article_Eater_PostQuinean_v1/app/routes/ingestion.py:222; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.query_response.v1.schema.json:275; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.web_state.v1.schema.json:77; Article_Eater_PostQuinean_v1/contracts/schemas/integration.edge_justification.v1.schema.json:13
blocking_issues,extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3,2,4,Article_Eater_PostQuinean_v1/app/cli/article_eater_contract_cli.py:115; Article_Eater_PostQuinean_v1/contracts/ae_af/examples/output_bundle_sample/result.json:24; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.result.v1.schema.json:157; Article_Finder_v3_2_3/schemas/ae.result.v1.schema.json:130
bn_mapping,extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3,2,11,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.rule.v1.schema.json:182; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.rule.v1.schema.json:85; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.rule.v2.schema.json:234; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.rule.v2.schema.json:91
boundary_condition,enum_value,Article_Eater_PostQuinean_v1;Outcome_Contractor,2,4,Article_Eater_PostQuinean_v1/quarantine/2026-02-10/epistemic_causal_bridge_features/argument_attack.py:49; Article_Eater_PostQuinean_v1/ruthless_bundle_2026-02-08/src/services/epistemic_causal_bridge.py:86; Article_Eater_PostQuinean_v1/src/services/argument_attack.py:46; Outcome_Contractor/core/argument_taxonomy.py:106
bridge_id,extraction_output_field,Article_Eater_PostQuinean_v1;Outcome_Contractor,2,833,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.bridge.v1.schema.json:13; Outcome_Contractor/contracts/oc_export/constitutive_bridges.json:10004; Outcome_Contractor/contracts/oc_export/constitutive_bridges.json:10025; Outcome_Contractor/contracts/oc_export/constitutive_bridges.json:10046
bridge_type,extraction_output_field,Article_Eater_PostQuinean_v1;Outcome_Contractor,2,1668,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.bridge.v1.schema.json:26; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.rule.v2.schema.json:134; Article_Eater_PostQuinean_v1/scripts/convert_findings_to_rules.py:295; Outcome_Contractor/contracts/oc_export/bn_outcome_nodes.json:10015
by_type,extraction_output_field,Article_Finder_v3_2_3;BN_graphical,2,3,Article_Finder_v3_2_3/ingest/zotero_connector.py:395; Article_Finder_v3_2_3/knowledge/claim_embeddings.py:472; BN_graphical/src/ai_extraction/verification_queue.py:542
calibration_error,enum_value,Article_Eater_PostQuinean_v1;BN_graphical,2,2,Article_Eater_PostQuinean_v1/src/services/bn_coherence_client.py:79; BN_graphical/src/coherence/epistemic_workflow.py:172
canonical_name,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Tagging_Contractor,2,451,Article_Eater_PostQuinean_v1/contracts/vocab/environment_lookup.json:1499; Article_Eater_PostQuinean_v1/contracts/vocab/environment_lookup.json:1506; Article_Eater_PostQuinean_v1/contracts/vocab/environment_lookup.json:1513; Article_Eater_PostQuinean_v1/contracts/vocab/environment_lookup.json:1520
case_study,enum_value,Article_Eater_PostQuinean_v1;Outcome_Contractor,2,4,Article_Eater_PostQuinean_v1/src/epistemic/extraction/paper_classifier.py:34; Article_Eater_PostQuinean_v1/src/epistemic/extraction/source_quality_metadata.py:33; Outcome_Contractor/article_finder/article_type_classifier.py:28; Outcome_Contractor/contracts/article_extraction_contracts.py:37
causal_claim,enum_value;extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical,2,2,Article_Eater_PostQuinean_v1/src/models/propositional_content.py:24; BN_graphical/src/ai_extraction/field_thresholds.py:114
citation_count,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical,2,8,Article_Eater_PostQuinean_v1/db/sql/015_complete_schema.sql:41; Article_Eater_PostQuinean_v1/db/sql/015_core_tables.sql:38; Article_Eater_PostQuinean_v1/init_database.py:63; Article_Eater_PostQuinean_v1/schemas/article.schema.json:58
cited_paper_id,database_column;extraction_output_field,Article_Finder_v3_2_3;BN_graphical,2,2,Article_Finder_v3_2_3/core/database.py:148; BN_graphical/src/literature_integration/citation_extractor.py:64
claims_jsonl,extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3,2,4,Article_Eater_PostQuinean_v1/app/cli/article_eater_contract_cli.py:110; Article_Eater_PostQuinean_v1/contracts/ae_af/examples/output_bundle_sample/result.json:17; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.result.v1.schema.json:102; Article_Finder_v3_2_3/schemas/ae.result.v1.schema.json:102
