variable_name,categories,repos,repo_count,kind_signals,source_count,example_sources
pattern,extraction_output_field;template_causal_chain_ref,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor;Tagging_Contractor,5,arrow_lhs;attr;json_key;py_key,120,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.bridge.v1.schema.json:15; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.paper.v1.schema.json:155; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.provenance.v1.schema.json:42; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.provenance.v1.schema.json:46; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.result.v1.schema.json:30
role,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor;Tagging_Contractor,5,attr;json_key;py_key;sql_col,53,Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:1039; Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:1040; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:175; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/extraction_to_web.py:1039; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/extraction_to_web.py:1040
rows,extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor;Tagging_Contractor,5,attr;json_key;py_key,23,Article_Eater_PostQuinean_v1/scripts/build_article_type_tables.py:188; Article_Eater_PostQuinean_v1/scripts/check_table_extraction_quality.py:69; Article_Eater_PostQuinean_v1/src/services/table_extractor.py:63; Article_Eater_PostQuinean_v1/src/services/table_extractor.py:79; Article_Finder_v3_2_3/ingest/doi_resolver.py:197
status,database_column;enum_value;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor;Tagging_Contractor,5,attr;enum:STATUS;json_key;py_key;sql_col,965,Article_Eater_PostQuinean_v1/AE_AF_Contract_Additions_v1_concatenated.txt:151; Article_Eater_PostQuinean_v1/AE_AF_Contract_Additions_v1_concatenated.txt:232; Article_Eater_PostQuinean_v1/Post_Quinean Setup/3/article_eater_contract_cli.py:99; Article_Eater_PostQuinean_v1/_archive/chatgpt_patch_20251231T060217Z/article_eater_contract_cli.py:82; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/claim_gallery.v1.schema.json:197
title,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN;BN_graphical;Outcome_Contractor,5,attr;sql_col,83,Article_Eater_PostQuinean_v1/app/routes/ingestion.py:125; Article_Eater_PostQuinean_v1/app/routes/ingestion.py:71; Article_Eater_PostQuinean_v1/config/table_must_include_seeds.txt:18; Article_Eater_PostQuinean_v1/config/table_must_include_seeds.txt:19; Article_Eater_PostQuinean_v1/config/table_must_include_seeds.txt:20
version,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor;Tagging_Contractor,5,attr;sql_col,97,Article_Eater_PostQuinean_v1/contracts/vocab/cross_field_vocabulary.yaml:10; Article_Eater_PostQuinean_v1/contracts/vocab/null_result_indicators.yaml:10; Article_Eater_PostQuinean_v1/contracts/vocab/vocabulary_bridge.yaml:10; Article_Eater_PostQuinean_v1/db/sql/015_complete_schema.sql:225; Article_Eater_PostQuinean_v1/db/sql/017_theories.sql:320
action,database_column;extraction_output_field;template_causal_chain_ref,Article_Eater_PostQuinean_v1;BN_graphical;Outcome_Contractor;Tagging_Contractor,4,arrow_lhs;arrow_rhs;attr;json_key;py_key;sql_col,31,Article_Eater_PostQuinean_v1/docs/02-15_01_Neuroscience_Panel_Tier1_Frameworks_V1.0.md:289; Article_Eater_PostQuinean_v1/docs/02-15_02_Neuroscience_Panel_Templates_and_Taxonomy_V1.0.md:14; Article_Eater_PostQuinean_v1/docs/EXTRACTION_TEMPLATE_META_ANALYSIS_2026_02_03.md:306; Article_Eater_PostQuinean_v1/docs/EXTRACTION_TEMPLATE_NARRATIVE_REVIEW_2026_02_03.md:560; Article_Eater_PostQuinean_v1/docs/EXTRACTION_TEMPLATE_NARRATIVE_REVIEW_2026_02_03.md:628
age_mean,extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,attr;json_key;py_key,17,Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:1046; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:229; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/extraction_to_web.py:1046; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v1.schema.json:229; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v2.schema.json:284
author,enum_value;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,attr;enum:AUTHOR;json_key;py_key,22,Article_Eater_PostQuinean_v1/docs/EXTRACTION_TEMPLATE_CONCEPTUAL_FRAMEWORK_2026_02_04.md:256; Article_Eater_PostQuinean_v1/docs/EXTRACTION_TEMPLATE_CONCEPTUAL_FRAMEWORK_2026_02_04.md:848; Article_Eater_PostQuinean_v1/src/services/graph_api.py:294; Article_Eater_PostQuinean_v1/tests/test_sprint6c_ingestion.py:294; Article_Finder_v3_2_3/ingest/doi_resolver.py:216
bn,extraction_output_field;template_causal_chain_ref,Article_Eater_PostQuinean_v1;BN_graphical;Outcome_Contractor;Tagging_Contractor,4,arrow_rhs;attr;json_key;py_key,864,Article_Eater_PostQuinean_v1/Post_Quinean Setup/EXPERT_PANEL_SYSTEM_ASSESSMENT_PROMPT_2026_01_20.md:51; Article_Eater_PostQuinean_v1/docs/02-14_07_Theory_Tier_Architecture_V1.0.md:286; Article_Eater_PostQuinean_v1/docs/02-14_07_Theory_Tier_Architecture_V1.0.md:287; Article_Eater_PostQuinean_v1/docs/THEORY_TIER_ARCHITECTURE_V1.0_2026-02-14.md:286; Article_Eater_PostQuinean_v1/docs/THEORY_TIER_ARCHITECTURE_V1.0_2026-02-14.md:287
boundary_conditions,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,attr;json_key;py_key;sql_col,20,Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.rule.v1.schema.json:174; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.rule.v1.schema.json:174; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.rule.v2.schema.json:226; Article_Eater_PostQuinean_v1/docs/EXTRACTION_TEMPLATE_CASE_STUDY_2026_02_09.md:411; Article_Eater_PostQuinean_v1/docs/EXTRACTION_TEMPLATE_EMPIRICAL_v2_2026_02_03.md:1284
caption,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,attr;json_key;py_key;sql_col,10,Article_Eater_PostQuinean_v1/src/services/table_extractor.py:61; Article_Eater_PostQuinean_v1/src/services/table_extractor.py:77; Article_Finder_v3_2_3/core/database.py:285; BN_graphical/backups/broken_venvs/bn_venv_20260213_092600/lib/python3.12/site-packages/pip/_vendor/rich/table.py:193; BN_graphical/backups/broken_venvs/bn_venv_20260213_092600/lib/python3.12/site-packages/rich/table.py:193
category,extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical;Outcome_Contractor;Tagging_Contractor,4,attr;json_key;py_key,466,Article_Eater_PostQuinean_v1/contracts/vocab/environment_lookup.json:1500; Article_Eater_PostQuinean_v1/contracts/vocab/environment_lookup.json:1507; Article_Eater_PostQuinean_v1/contracts/vocab/environment_lookup.json:1514; Article_Eater_PostQuinean_v1/contracts/vocab/environment_lookup.json:1521; Article_Eater_PostQuinean_v1/contracts/vocab/environment_lookup.json:1528
citations,extraction_output_field;template_causal_chain_ref,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,arrow_lhs;attr;json_key;py_key,14,Article_Eater_PostQuinean_v1/_review_package_2026_01_23/claim_gallery.v1.schema.json:221; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/claim_gallery_builder.py:180; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/claim_gallery_builder.py:186; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/claim_gallery.v1.schema.json:221; Article_Eater_PostQuinean_v1/docs/EXTRACTION_TEMPLATE_NARRATIVE_REVIEW_2026_02_03.md:954
claim,enum_value;extraction_output_field;template_causal_chain_ref,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,arrow_lhs;arrow_rhs;attr;enum:CLAIM;json_key;py_key,69,Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:318; Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:463; Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:471; Article_Eater_PostQuinean_v1/Post_Quinean Setup/EXPERT_PANEL_SYSTEM_ASSESSMENT_PROMPT_2026_01_20.md:267; Article_Eater_PostQuinean_v1/Post_Quinean Setup/EXPERT_PANEL_SYSTEM_ASSESSMENT_PROMPT_2026_01_20.md:436
claim_id,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,attr;json_key;py_key;sql_col,73,Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:1034; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:25; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.rule.v1.schema.json:79; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/claim_gallery.v1.schema.json:26; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/claim_gallery_builder.py:1080
claim_type,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,attr;json_key;py_key;sql_col,33,Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:1036; Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:397; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:31; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/extraction_to_web.py:1036; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/extraction_to_web.py:397
claims,extraction_output_field;template_causal_chain_ref,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,arrow_lhs;arrow_rhs;attr;json_key;py_key,35,Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:692; Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:706; Article_Eater_PostQuinean_v1/Post_Quinean Setup/EXPERT_PANEL_SPRINT_2_3_REVIEW_2026_01_18.md:41; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/extraction_to_web.py:692; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/extraction_to_web.py:706
col,extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,attr;json_key;py_key,25,Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:343; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v1.schema.json:343; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v2.schema.json:407; Article_Eater_PostQuinean_v1/src/services/table_extractor.py:47; Article_Finder_v3_2_3/eater_interface/output_parser_v2.py:80
color,extraction_output_field;template_causal_chain_ref,Article_Eater_PostQuinean_v1;BN_graphical;Outcome_Contractor;Tagging_Contractor,4,arrow_lhs;json_key;py_key,8,Article_Eater_PostQuinean_v1/Post_Quinean Setup/EXPERT_PANEL_VALIDATION_RESPONSES_2026_01_19.md:251; BN_graphical/bn_venv/lib/python3.14/site-packages/networkx/algorithms/minors/contraction.py:508; BN_graphical/bn_venv/lib/python3.14/site-packages/networkx/algorithms/minors/contraction.py:511; BN_graphical/bn_venv/lib/python3.14/site-packages/networkx/algorithms/minors/contraction.py:533; Outcome_Contractor/contracts/oc_export/ae_outcome_lookup.json:825
complex,enum_value;extraction_output_field;template_causal_chain_ref,Article_Eater_PostQuinean_v1;BN;BN_graphical;Outcome_Contractor,4,arrow_lhs;arrow_rhs;enum:COMPLEX;enum:COMPLEX_SHIFT;json_key;py_key,9,Article_Eater_PostQuinean_v1/docs/02-15_01_Neuroscience_Panel_Tier1_Frameworks_V1.0.md:121; Article_Eater_PostQuinean_v1/docs/02-15_02_Neuroscience_Panel_Templates_and_Taxonomy_V1.0.md:240; Article_Eater_PostQuinean_v1/quarantine/2026-02-10/epistemic_causal_bridge_features/argument_attack.py:65; Article_Eater_PostQuinean_v1/ruthless_bundle_2026-02-08/src/services/epistemic_causal_bridge.py:102; Article_Eater_PostQuinean_v1/src/models/theory_models.py:86
const,extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,json_key;py_key,140,Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:23; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.rule.v1.schema.json:24; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/claim_gallery.v1.schema.json:18; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/gallery_selection_config.v1.schema.json:20; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/image_feedback.v1.schema.json:20
constraints,extraction_output_field;template_causal_chain_ref,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,arrow_lhs;arrow_rhs;attr;json_key;py_key,67,Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:1056; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:151; Article_Eater_PostQuinean_v1/Post_Quinean Setup/EXPERT_PANEL_PLAN_REVIEW_2026_01_19.md:139; Article_Eater_PostQuinean_v1/Post_Quinean Setup/IMPLEMENTATION_PLAN_PANEL_CONCERNS_2026_01_19.md:49; Article_Eater_PostQuinean_v1/Post_Quinean Setup/IMPLEMENTATION_PLAN_PANEL_CONCERNS_2026_01_19.md:50
context,database_column;enum_value;extraction_output_field;template_causal_chain_ref,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,arrow_lhs;arrow_rhs;attr;enum:CONTEXT;enum:CONTEXT_BOUND;json_key;py_key;sql_col,46,Article_Eater_PostQuinean_v1/AE_AF_Contract_Additions_v1_concatenated.txt:141; Article_Eater_PostQuinean_v1/Post_Quinean Setup/3/article_eater_contract_cli.py:89; Article_Eater_PostQuinean_v1/Post_Quinean Setup/EXPERT_PANEL_PHASE_CD_REVIEW_2026_01_21.md:231; Article_Eater_PostQuinean_v1/_archive/chatgpt_patch_20251231T060217Z/article_eater_contract_cli.py:72; Article_Eater_PostQuinean_v1/app/cli/article_eater_contract_cli.py:89
country,extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,attr;json_key;py_key,23,Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:1046; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:235; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/extraction_to_web.py:1046; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v1.schema.json:235; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v2.schema.json:290
decision,database_column;extraction_output_field;template_causal_chain_ref,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Tagging_Contractor,4,arrow_rhs;attr;json_key;py_key;sql_col,18,Article_Eater_PostQuinean_v1/contracts/ae_af/examples/input_bundle_minimal/paper.json:24; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.paper.v1.schema.json:134; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.result.v1.schema.json:139; Article_Eater_PostQuinean_v1/docs/02-15_03_Panel_III_Multimodal_Senses_HigherCognition_V1.0.md:272; Article_Eater_PostQuinean_v1/docs/02-15_03_Panel_III_Multimodal_Senses_HigherCognition_V1.0.md:283
